GCA_900327555.1,Cowpox virus
GCA_014883245.1,Abu Mina virus
GCA_018594855.1,Bandia virus
GCA_001629985.1,Erve virus
GCA_031117795.1,SARS coronavirus AS
GCA_000842585.1,Sulfolobus virus Kamchatka 1
GCA_003080635.1,Bluetongue virus 5
GCA_003080655.1,Bluetongue virus 6
GCA_003080475.1,Bluetongue virus 7
GCA_003081035.1,Bluetongue virus 14
GCA_003080535.1,Bluetongue virus 19
GCA_003080855.1,Bluetongue virus 22
GCA_003080975.1,Bluetongue virus 24
GCA_008799935.1,Sapovirus Hu/Bristol/1998/UK
GCA_031117805.1,SARS coronavirus GZ-B
GCA_031117815.1,SARS coronavirus GZ-C
GCA_031117825.1,SARS coronavirus HSZ2-A
GCA_031117835.1,SARS coronavirus HSZ-Bb
GCA_031117845.1,SARS coronavirus HSZ-Cb
GCA_031117855.1,SARS coronavirus HZS2-Fb
GCA_031117865.1,SARS coronavirus HZS2-D
GCA_031117875.1,SARS coronavirus HZS2-E
GCA_031117885.1,SARS coronavirus HZS2-Fc
GCA_031117895.1,SARS coronavirus HZS2-C
GCA_031117905.1,SARS coronavirus HGZ8L2
GCA_031117915.1,SARS coronavirus HSZ-Bc
GCA_031117925.1,SARS coronavirus HSZ-Cc
GCA_031117935.1,SARS coronavirus ZS-B
GCA_031117945.1,SARS coronavirus ZS-A
GCA_031117955.1,SARS coronavirus LC1
GCA_031117965.1,SARS coronavirus LC2
GCA_031117975.1,SARS coronavirus LC3
GCA_031117985.1,SARS coronavirus LC4
GCA_031117995.1,SARS coronavirus LC5
GCA_031118005.1,SARS coronavirus ZS-C
GCA_000847285.1,Neodiprion lecontei nucleopolyhedrovirus
GCA_000905355.1,Lyssavirus irkut
GCA_000924535.1,Lyssavirus caucasicus
GCA_025838275.1,Phaeocystis globosa virus
GCA_031118015.1,Pieris rapae granulovirus
GCA_000844085.1,Snake adeno-associated virus
GCA_031118025.1,SARS coronavirus PUMC01
GCA_031118035.1,SARS coronavirus PUMC02
GCA_031118045.1,SARS coronavirus PUMC03
GCA_002829605.1,Pulau reovirus
GCA_000881915.1,Schlumbergera virus X
GCA_000854525.1,Zygocactus virus X
GCA_000853845.1,Opuntia virus X
GCA_002629865.1,Lactococcus virus P2
GCA_002758415.1,Lactococcus phage Q33
GCA_031118055.1,Small ruminant lentivirus
GCA_002594645.1,Enterobacteria phage 2851
GCA_002830565.1,Havel River virus
GCA_004790415.1,Fusarium graminearum dsRNA mycovirus 2
GCA_000883555.1,Pepper veinal mottle virus
GCA_031118065.1,SARS coronavirus SoD
GCA_000858685.1,Fragaria chiloensis latent virus
GCA_002817615.1,Melon yellowing-associated virus
GCA_000846725.1,Klebsiella phage phiKO2
GCA_002988035.1,Neckar River virus
GCA_002830645.1,Sikte waterborne virus
GCA_000858365.1,Pelargonium necrotic spot virus
GCA_003110445.1,Cucumber mosaic virus (strain Mf)
GCA_031118075.1,SARS coronavirus Sino3-11
GCA_031118085.1,SARS coronavirus Sino1-11
GCA_031085795.1,Cotesia plutellae polydnavirus
GCA_000846165.1,Bovine adeno-associated virus
GCA_002828625.1,Meadow saffron breaking virus
GCA_000844885.1,Lymphocystis disease virus - isolate China
GCA_031118095.1,SARS coronavirus GZ02
GCA_000843445.1,Sulfolobus virus Ragged Hills
GCA_000907115.1,Arracacha virus B
GCA_000913055.1,Potato black ringspot virus
GCA_004061515.1,Muscovy duck circovirus
GCA_002833885.1,Bracoviriform glomeratae
GCA_031118105.1,SARS coronavirus GD69
GCA_031118115.1,Human calicivirus NLV/GII/Langen1061/2002/DE
GCA_002828745.1,Pfaffia mosaic virus
GCA_031118125.1,SARS coronavirus ShanghaiQXC1
GCA_031118135.1,SARS coronavirus ShanghaiQXC2
GCA_031118145.1,Pheasant coronavirus
GCA_031118155.1,SARS coronavirus TW10
GCA_031118165.1,SARS coronavirus TW11
GCA_031118175.1,SARS coronavirus TW2
GCA_031118185.1,SARS coronavirus TW3
GCA_031118195.1,SARS coronavirus TW4
GCA_031118205.1,SARS coronavirus TW5
GCA_031118215.1,SARS coronavirus TW6
GCA_031118225.1,SARS coronavirus TW7
GCA_031118235.1,SARS coronavirus TW8
GCA_031118245.1,SARS coronavirus TW9
GCA_031118255.1,Potato virus Y strain nnp
GCA_000848945.1,Sheldgoose hepatitis B virus
GCA_031118265.1,Ross's goose hepatitis B virus
GCA_006447435.1,Human adenovirus 3+7
GCA_031118275.1,SARS coronavirus HC/SZ/61/03
GCA_000873625.1,Mycobacterium phage U2
GCA_000844065.1,Vibrio phage VP2
GCA_002828125.1,Alstroemeria mosaic virus
GCA_002828165.1,Amazon lily mosaic virus
GCA_002824585.1,Tomato yellow leaf curl Mali virus
GCA_000840925.1,Pepper yellow vein Mali virus
GCA_000841705.1,Tomato leaf curl Mali virus
GCA_000866125.1,Cotton leaf curl Multan virus satellite U36-1
GCA_016467495.1,Cyanophage S-2L
GCA_031118285.1,Kakugo virus
GCA_003177735.1,Human papillomavirus 95
GCA_003177755.1,Human papillomavirus 94
GCA_031118295.1,SARS coronavirus NS-1
GCA_000871485.1,Heliothis virescens ascovirus 3e
GCA_000844445.1,Vibrio phage VP5
GCA_031083365.1,Influenza B virus (B/Akita/27/2001)
GCA_031083475.1,Influenza B virus (B/Shizuoka/15/2001)
GCA_000843525.1,Tomato yellow margin leaf curl virus
GCA_002600085.1,Enterobacteria phage PR772
GCA_023897985.1,Ostreid herpesvirus 1
GCA_001924155.1,Plodia interpunctella granulovirus
GCA_000837125.1,Orgyia pseudotsugata multiple nucleopolyhedrovirus
GCA_031118305.1,Measles virus genotype A
GCA_018591385.1,Cardamom bushy dwarf virus
GCA_031118315.1,Norovirus GIV
GCA_000911095.1,Piper yellow mottle virus
GCA_031118325.1,Bovine viral diarrhea virus 1 strain ZM-95
GCA_000846905.1,Singapore grouper iridovirus
GCA_000842305.1,Tomato leaf curl Java virus
GCA_002821545.1,Ageratum yellow vein virus-[Tomato]
GCA_000854905.1,Sweet potato chlorotic fleck virus
GCA_031118335.1,Passiflora virus Y
GCA_002758435.1,Bordetella phage BMP-1
GCA_002758455.1,Bordetella phage BIP-1
GCA_031118345.1,Possum enterovirus W6
GCA_002824125.1,Tomato leaf curl Java virus-[Ageratum]
GCA_000844785.1,Tomato leaf curl Java virus-[Ageratum] satellite DNA
GCA_000840965.1,Horsegram yellow mosaic virus
GCA_006458685.1,Rock bream iridovirus
GCA_000880895.1,Bougainvillea chlorotic vein banding virus
GCA_000897895.1,Horseradish latent virus
GCA_006472165.1,Ambystoma tigrinum virus
GCA_000867965.1,Ichnoviriform fugitivi
GCA_002820325.1,Mint vein banding-associated virus
GCA_000840985.1,Tomato yellow leaf curl Kanchanaburi virus-[Thailand Kan1]
GCA_031767095.1,Tomato yellow leaf curl Kanchanaburi virus-[Thailand Kan2]
GCA_000858705.1,Chalara elegans RNA Virus 1
GCA_031118355.1,SARS coronavirus Sin842
GCA_031118365.1,SARS coronavirus Sin852
GCA_031118375.1,SARS coronavirus Sin3408
GCA_031118385.1,SARS coronavirus Sin3765V
GCA_031118395.1,SARS coronavirus Sin848
GCA_031118405.1,SARS coronavirus Sin849
GCA_031118415.1,SARS coronavirus Sin3725V
GCA_031118425.1,SARS coronavirus SinP1
GCA_031118435.1,SARS coronavirus SinP2
GCA_031118445.1,SARS coronavirus SinP3
GCA_031118455.1,SARS coronavirus SinP4
GCA_031118465.1,SARS coronavirus SinP5
GCA_031118475.1,SARS coronavirus Sin845
GCA_031118485.1,SARS coronavirus Sin846
GCA_031118495.1,SARS coronavirus Sin847
GCA_031118505.1,SARS coronavirus Sin850
GCA_031118515.1,SARS coronavirus Sin3408L
GCA_000875065.1,Bean yellow disorder virus
GCA_031118525.1,Maize streak virus - [Reunion2]
GCA_000847105.2,Maize streak virus - A[Ama]
GCA_031118535.1,Maize streak virus - A[Gat]
GCA_031118545.1,Maize streak virus - A[KA]
GCA_031118555.1,Maize streak virus - A[Km]
GCA_031118565.1,Maize streak virus - A[Kom]
GCA_031118575.1,Maize streak virus - A[MakD]
GCA_031118585.1,Maize streak virus - A[MatA]
GCA_031118595.1,Maize streak virus - A[MatB]
GCA_031118605.1,Maize streak virus - A[MatC]
GCA_031118615.1,Maize streak virus - A[Sag]
GCA_003048235.1,Maize streak virus - A[South Africa]
GCA_031118625.1,Maize streak virus - B[Jam]
GCA_031118635.1,Maize streak virus - B[Mom]
GCA_031118645.1,Maize streak virus - E[Pat]
GCA_031118655.1,Maize streak virus - Reunion [N2AR2]
GCA_031118665.1,Maize streak virus - Reunion [N2AR3]
GCA_031118675.1,Maize streak virus - Reunion [N2AR4]
GCA_031118685.1,Maize streak virus - Reunion [N2AR5]
GCA_031118695.1,Maize streak virus - Reunion [N2AR6]
GCA_031118705.1,Maize streak virus - Reunion [N2AR8]
GCA_031119715.1,Maize streak virus - Reunion [SP1R10]
GCA_031119725.1,Maize streak virus - Reunion [SP2R11]
GCA_031119735.1,Maize streak virus - Reunion [SP2R12]
GCA_031119745.1,Maize streak virus - Reunion [SP2R13]
GCA_031119755.1,Maize streak virus - Reunion [SP2R7]
GCA_002825105.1,Maize streak virus - [Raw]
GCA_002825085.1,Maize streak virus - [Set]
GCA_031119765.1,Maize streak virus - B[Tas]
GCA_031119775.1,Maize streak virus - B[Vaalhart wheat]
GCA_001876855.1,Anticarsia gemmatalis multiple nucleopolyhedrovirus
GCA_000859585.1,Prochlorococcus phage P-SSM2
GCA_000857985.1,Prochlorococcus phage P-SSM4
GCA_003329525.1,Tiamatvirus PSSP7
GCA_000839945.1,Miscanthus streak virus - [91]
GCA_031767115.1,Miscanthus streak virus - [Japan 98]
GCA_000839585.1,Panicum streak virus - Karino
GCA_002987265.1,Panicum streak virus - [Kenya]
GCA_000840065.1,Sugarcane streak virus - [Natal]
GCA_031119785.1,Sugarcane streak Egypt virus - [Aswan]
GCA_031119795.1,Sugarcane streak Egypt virus - [Ben]
GCA_000841765.1,Sugarcane streak Egypt virus - [Giza]
GCA_031119805.1,Sugarcane streak Egypt virus - [Man]
GCA_031119815.1,Sugarcane streak Egypt virus - [Naga]
GCA_031119825.1,Wheat dwarf virus - [Sweden]
GCA_031119835.1,Maize streak virus - A[Vaalhart maize]
GCA_002824865.1,Beet mild curly top virus - [Worland]
GCA_031119845.1,Beet mild curly top virus - [Worland4]
GCA_002824805.1,Beet severe curly top virus - Cfh
GCA_000843505.1,Beet curly top virus - California [Logan]
GCA_031119855.1,Beet curly top virus - California [Logan/Arabidopsis]
GCA_031119865.1,Ageratum yellow vein China virus - [Hn2.19]
GCA_031088485.1,Cotton leaf curl Gezira virus-[Okra/Shambat]
GCA_000843385.1,Euphorbia leaf curl virus - [G35]
GCA_002822325.1,Eupatorium yellow vein virus - [Yamaguchi]
GCA_002986405.1,Hollyhock leaf crumple virus - [Cairo2]
GCA_031088495.1,Mungbean yellow mosaic India virus - [Akola]
GCA_031088535.1,Mungbean yellow mosaic virus - Soybean [Pakistan]
GCA_031088325.1,Mungbean yellow mosaic virus - Vigna [KA27]
GCA_031767125.1,Papaya leaf curl China virus - [G2]
GCA_000846865.1,Papaya leaf curl China virus - [G8]
GCA_002986735.1,Papaya leaf curl China virus - [G10]
GCA_031767135.1,Papaya leaf curl China virus - [G12]
GCA_002986765.1,Papaya leaf curl China virus - [G30]
GCA_000845145.1,Papaya leaf curl Guangdong virus - [GD2]
GCA_000845405.1,Sulfolobus turreted icosahedral virus 1
GCA_000856225.1,Humulus japonicus latent virus
GCA_031088335.1,South African cassava mosaic virus - [ZW]
GCA_000865805.1,Squash leaf curl China virus - [B]
GCA_031767185.1,Squash leaf curl China virus - [K]
GCA_000843565.1,Squash leaf curl Philippines virus
GCA_031119875.1,Stachytarpheta leaf curl virus - [Hn5.4]
GCA_031119885.1,Stachytarpheta leaf curl virus - [Hn6.1]
GCA_000860165.1,Tobacco leaf curl Yunnan virus - [Y136]
GCA_031119895.1,Tobacco leaf curl Yunnan virus - [Y143]
GCA_031119905.1,Tobacco leaf curl Yunnan virus - [Y161]
GCA_002823905.1,Tomato chino La Paz virus - [Baja California Sur]
GCA_000841345.1,Tomato curly stunt virus - [South Africa]
GCA_002986945.1,Tomato leaf curl China virus - [G18]
GCA_000842525.1,Tomato leaf curl China virus - [G32]
GCA_031767195.1,Tomato leaf curl Gujarat virus - [Nepal]
GCA_000841205.1,Tomato leaf curl Gujarat virus - [Varanasi]
GCA_031119915.1,Rous sarcoma virus - Schmidt-Ruppin B
GCA_031119925.1,Rous sarcoma virus - Schmidt-Ruppin D
GCA_031119935.1,Bovine enterovirus type 2
GCA_000845745.1,Tomato leaf curl Iran virus
GCA_031767205.1,Tomato leaf curl Philippines virus - [LB]
GCA_002824265.1,Tomato leaf curl Sudan virus
GCA_000842665.1,Tomato leaf curl Sudan virus - [Gezira]
GCA_002824285.1,Tomato leaf curl Sudan virus - [Shambat]
GCA_000843585.1,Pyrobaculum spherical virus
GCA_002592885.1,Lactococcus lactis phage 645
GCA_002830625.1,Petunia asteroid mosaic virus
GCA_000916815.1,Eggplant mottled crinkle virus
GCA_002830585.1,Limonium flower distortion virus
GCA_031119945.1,Human calicivirus Hu/NLV/Oxford/B5S22/2003/UK
GCA_000857565.1,Pneumonia virus of mice J3666
GCA_000882455.1,Zantedeschia mild mosaic virus
GCA_031119955.1,Human group 1 coronavirus associated with pneumonia
GCA_000843545.1,Pseudomonas phage PaP2
GCA_031083585.1,Influenza B virus (B/Victoria/504/2000)
GCA_000837145.1,Bombyx mori nucleopolyhedrovirus
GCA_000856605.1,Magnaporthe oryzae virus 1
GCA_004786595.1,Macaca fuscata rhadinovirus
GCA_031119965.1,Norovirus Hu/NLV/Oxford/B4S2/2002/UK
GCA_031119975.1,Norovirus Hu/NLV/Oxford/B4S5/2002/UK
GCA_031119985.1,Norovirus Hu/NLV/Oxford/B4S6/2002/UK
GCA_031119995.1,Norovirus Hu/NLV/Oxford/B4S4/2002/UK
GCA_031120005.1,Norovirus Hu/NLV/Oxford/B4S7/2002/UK
GCA_031120015.1,Norovirus Hu/NLV/Oxford/B4S1/2002/UK
GCA_031120025.1,Norovirus Hu/NLV/Oxford/B2S16/2002/UK
GCA_004129875.1,Adeno-associated virus
GCA_000857905.1,Dendrolimus punctatus virus
GCA_000866825.1,Pseudomonas phage EL
GCA_003972285.1,Solea senegalensis nervous necrosis virus
GCA_004789595.1,Ilesha virus
GCA_009732295.1,Mboke virus
GCA_009732315.1,Tlacotalpan virus
GCA_009732335.1,Playas virus
GCA_004789975.1,Fort Sherman virus
GCA_009732355.2,Lokern virus
GCA_004789275.1,Tensaw virus
GCA_031580235.1,Xingu virus
GCA_004790395.1,Bozo virus
GCA_009732375.1,Taiassui virus
GCA_004789455.1,Macaua virus
GCA_004789495.1,Sororoca virus
GCA_004789415.1,Anhembi virus
GCA_004789435.1,Iaco virus
GCA_009732395.1,Ngari virus
GCA_004790375.1,Birao virus
GCA_009732415.1,Shokwe virus
GCA_004790275.1,Potosi virus
GCA_031120035.1,SARS coronavirus LLJ-2004
GCA_007832615.1,Turbot reddish body iridovirus
GCA_031767235.1,Cotton leaf curl Kokhran virus-Dabawali
GCA_031767245.1,Tomato leaf curl Bangalore virus-Cotton [Fatehabad]
GCA_002829345.1,Eriocheir sinensis reovirus
GCA_000854545.1,Lettuce ring necrosis virus
GCA_000883775.1,Thielaviopsis basicola mitovirus
GCA_000853865.1,Human coronavirus NL63
GCA_902725305.1,uncultured phage
GCA_000862785.1,Tomato leaf curl China betasatellite
GCA_031120045.1,Classical swine fever virus 96TD
GCA_000846625.1,Lactobacillus phage phiAT3
GCA_000842685.1,Actinoplanes phage phiAsp2
GCA_000844905.1,Burkholderia phage BcepB1A
GCA_000860045.1,Gremmeniella abietina mitochondrial RNA virus S2
GCA_000858445.1,Gremmeniella abietina RNA virus L2
GCA_000859225.1,Gremmeniella abietina RNA virus MS2
GCA_000852725.1,Maize mosaic nucleorhabdovirus
GCA_000843645.2,Mycoplasma phage phiMFV1
GCA_031545385.1,Seoul virus BjHD01
GCA_000846565.1,Avian adeno-associated virus strain DA-1
GCA_031120055.1,SARS coronavirus GZ0401
GCA_002605325.1,Sulfolobus islandicus rudivirus 1 variant XX
GCA_008799095.1,Enterovirus B75
GCA_003029315.1,Daphne virus Y
GCA_000866305.1,Penaeid shrimp infectious myonecrosis virus
GCA_031120065.1,Papaya leaf curl China virus-Guangzhou isolate
GCA_000890975.1,Clostera anachoreta granulovirus
GCA_018595305.1,Faba bean necrotic stunt virus
GCA_000868865.1,Nootka lupine vein clearing virus
GCA_002834025.1,French barley mosaic virus
GCA_000846085.1,Bombyx mori cypovirus 1 satellite RNA
GCA_031120075.1,Avian infectious bronchitis virus partridge/GD/S14/2003
GCA_031120085.1,Tomato yellow leaf curl China virus-[Y43]
GCA_031120095.1,SARS coronavirus TJF
GCA_000874385.1,Alphachrysovirus cerasi
GCA_002987375.1,Cherry chlorotic rusty spot associated partitivirus
GCA_000854105.1,Amasya cherry disease-associated mycovirus
GCA_000846105.1,Sulfolobus virus STSV1
GCA_031120105.1,Civet SARS CoV 007/2004
GCA_031120115.1,SARS coronavirus civet010
GCA_031120125.1,SARS coronavirus civet020
GCA_031580115.1,Soochong virus-1
GCA_000892755.1,Bombyx mori Macula-like virus
GCA_031120135.1,PRRSV LV4.2.1
GCA_031120145.1,Human parvovirus 4
GCA_000859305.1,Small anellovirus 1
GCA_000860145.1,Small anellovirus 2
GCA_031120155.1,Stachytarpheta leaf curl virus - [Hn30]
GCA_031120165.1,Stachytarpheta leaf curl virus - [Hn34]
GCA_000906835.1,Isfahan virus
GCA_000858765.1,Human coronavirus HKU1
GCA_000857485.1,Malvastrum yellow vein Yunnan virus
GCA_002829005.1,Spiranthes mosaic virus 3
GCA_031120175.1,Foot-and-mouth disease virus O/ES/2001
GCA_000897235.1,Sida yellow mosaic China virus - [Hainan 8]
GCA_031120185.1,Norovirus Hu/GI/Otofuke/1979/JP
GCA_000855765.1,Sapovirus C12
GCA_000865525.1,Wheat dwarf virus - [Enkoping1]
GCA_000854265.1,Sapovirus Hu/Dresden/pJG-Sap01/DE
GCA_000865705.1,Sida yellow mosaic China satellite DNA beta
GCA_002828485.1,Euphorbia ringspot virus
GCA_009673825.1,Enterobacteria phage CP-1639
GCA_000857185.1,Erethizon dorsatum papillomavirus 1
GCA_002814995.1,Equid gammaherpesvirus 7
GCA_000854325.1,White clover cryptic virus 1
GCA_000844365.1,Dendrolimus punctatus densovirus
GCA_002118745.1,Marituba virus
GCA_031120195.1,SARS Coronavirus CDC#200301157
GCA_000846985.1,Vibrio phage KSF1
GCA_031088345.1,Pepper yellow leaf curl Indonesia virus-[Tomato1]
GCA_000867505.1,Pepper yellow leaf curl Indonesia virus
GCA_031767445.1,Papaya leaf curl China virus -[G4]
GCA_018547965.1,Luffa puckering and leaf distortion-associated DNA beta
GCA_000858085.1,Cowpea severe leaf curl-associated DNA beta
GCA_003972305.1,Dragon grouper nervous necrosis virus
GCA_000846885.1,Thermoproteus tenax spherical virus 1
GCA_000844385.1,Canis familiaris papillomavirus 2
GCA_000872205.1,Escherichia phage JS98
GCA_000845265.1,Corchorus yellow vein virus - [Hoa Binh]
GCA_000857125.1,Salmonella phage SS3e
GCA_031120205.1,SARS coronavirus GZ0402
GCA_031120215.1,SARS coronavirus PC4-13
GCA_031120225.1,SARS coronavirus PC4-136
GCA_013088585.1,SARS coronavirus PC4-227
GCA_000870485.1,Israeli acute paralysis virus
GCA_000854925.1,Solenopsis invicta virus 1
GCA_000846925.1,Bacillus phage BCASJ1c
GCA_000846125.1,Flavobacterium phage 11b
GCA_000858865.1,Olive mild mosaic virus
GCA_031120235.1,Adeno-associated virus-Go.1
GCA_002867655.1,Tomato golden vein virus
GCA_000864985.2,Penicillium stoloniferum virus F
GCA_031120245.1,Pneumonia virus of mice 15
GCA_031120255.1,Enterovirus A90
GCA_000868505.1,Tomato yellow leaf curl Guangdong virus
GCA_031120265.1,Ageratum yellow vein China virus - [G68]
GCA_000844985.1,Ageratum leaf curl virus - [G52]
GCA_000849805.1,Beet black scorch virus satellite RNA
GCA_031085835.1,Tobacco bushy top virus isolate Baoshan satellite-like RNA
GCA_000844225.1,Tobacco bushy top virus satellite-like RNA
GCA_000845045.1,Turnip crinkle virus virulent satellite RNA C
GCA_000866365.1,Thunberg fritillary mosaic virus
GCA_031120275.1,SARS coronavirus B039
GCA_000856585.1,Mopeia virus AN20410
GCA_000855745.1,Mopeia Lassa virus reassortant 29
GCA_000873645.1,Acidianus filamentous virus 2
GCA_012271565.1,Duck coronavirus
GCA_000873925.1,Lindernia anagallis yellow vein virus
GCA_031120285.1,Sapovirus NongKhai-50/Thailand
GCA_031120295.1,Sapovirus Chanthaburi-74/Thailand
GCA_031120305.1,Sapovirus SaKaeo-15/Thailand
GCA_008798975.1,Sapovirus NongKhai-24/Thailand
GCA_000858345.1,Mint virus 1
GCA_000861785.1,Cassia yellow blotch virus
GCA_031120315.1,Turnip mosaic virus (isolate UK1)
GCA_031120325.1,Mumps virus strain L-Zagreb
GCA_000859705.1,Mint virus X
GCA_000858105.1,Begomovirus-associated DNA-II
GCA_000857145.1,Begomovirus-associated DNA-III
GCA_000859125.1,Tomato leaf curl Mayotte virus
GCA_000867805.1,Rabbit vesivirus
GCA_018584265.1,Cotton leaf curl Gezira betasatellite
GCA_031120335.1,SARS coronavirus A022
GCA_013086795.1,Tomato yellow ring virus
GCA_000861985.1,Deerpox virus W-848-83
GCA_006465565.1,Deerpox virus W-1170-84
GCA_031120345.1,Chimpanzee polyomavirus
GCA_000883315.1,Poinsettia latent virus
GCA_018580225.1,Cotton leaf curl Multan betasatellite
GCA_000864365.1,Yunnan orbivirus
GCA_008798935.1,Enterovirus A89
GCA_008798895.1,Enterovirus A91
GCA_031120365.1,Enterovirus A76
GCA_000865045.1,Cotton leaf curl Bangalore virus
GCA_018580885.1,Cotton leaf curl Bangalore betasatellite
GCA_002118865.1,Kaeng Khoi virus
GCA_000859725.1,Bacillus phage GIL16c
GCA_000926335.1,Erinnyis ello granulovirus
GCA_023123105.1,Hyphantria cunea granulovirus
GCA_000943625.1,Spodoptera frugiperda granulovirus
GCA_031120375.1,Autographa californica multiple nucleopolyhedrovirus
GCA_000900035.1,Apocheima cinerarium nucleopolyhedrovirus
GCA_000883795.1,Euproctis pseudoconspersa nucleopolyhedrovirus
GCA_031120385.1,Samia cynthia nucleopolyhedrovirus
GCA_002817715.1,Banana virus X
GCA_000858925.1,Apricot pseudo-chlorotic leaf spot virus
GCA_002921825.1,Staphylococcus phage 812
GCA_002829065.1,Tradescantia mild mosaic virus
GCA_000871285.1,Acidianus rod-shaped virus 1
GCA_000864425.1,Tomato leaf curl Joydebpur virus
GCA_004790615.1,Calla lily chlorotic spot virus
GCA_000860065.1,Senecio yellow mosaic virus
GCA_000859765.1,Listonella phage phiHSIC
GCA_000847325.1,Simian adenovirus 1
GCA_023119565.1,Chimpanzee adenovirus
GCA_000864345.1,Vicia faba alphaendornavirus
GCA_000861025.1,Phytophthora alphaendornavirus 1
GCA_031120395.1,Human enterovirus Ningbo3-02
GCA_031120405.1,Human enterovirus Hangzhou13-02
GCA_002412105.1,Enterobacteria phage ID11
GCA_000853685.1,Blotched snakehead virus
GCA_002814955.1,Mustelid gammaherpesvirus 1
GCA_004114595.1,Bacillus thuringiensis phage MZTP02
GCA_000865205.1,Mycoreovirus 3
GCA_000858145.1,Citrus sudden death-associated virus
GCA_000881735.1,Nemesia ring necrosis virus
GCA_031120415.1,SARS coronavirus WH20
GCA_031120425.1,Erbovirus A
GCA_000882375.1,Scrophularia mottle virus
GCA_000883295.1,Plantago mottle virus
GCA_000880855.1,Anagyris vein yellowing virus
GCA_000890175.1,Cotton leafroll dwarf virus
GCA_000862885.1,Procyon lotor papillomavirus 1
GCA_002817795.1,Mint virus 2
GCA_000865125.1,Chlamydia phage 4
GCA_002633565.1,Lactococcus phage TP712
GCA_031120435.1,Rabbit hemorrhagic disease virus-SD
GCA_000861285.1,Rabbit hemorrhagic disease virus-FRG
GCA_000867705.1,Tomato leaf curl virus-Pune-associated DNA beta
GCA_031120445.1,Nandina mosaic virus
GCA_000865845.1,Acidianus two-tailed virus
GCA_000866905.1,Bitter gourd leaf curl betasatellite
GCA_031120455.1,Norovirus swine/GII/OH-QW125/03/US
GCA_000866665.1,Alstroemeria virus X
GCA_000882735.1,Allium virus X
GCA_031120465.1,Potato virus Y strain Wilga
GCA_002987655.1,Potato virus Y strain Wilga 156
GCA_031120475.1,Potato virus Y strain Wilga 156var
GCA_000903355.1,Cyprinid herpesvirus 1
GCA_027926515.1,Cyprinid herpesvirus 2
GCA_000882595.1,Human T-lymphotropic virus 4
GCA_031120485.1,Avirulent turkey hemorrhagic enteritis virus
GCA_000861765.1,Tupaia virus
GCA_008798835.1,Enterovirus B80
GCA_031120505.1,Enterovirus B81
GCA_008798795.1,Enterovirus B82
GCA_008798775.1,Enterovirus B83
GCA_008797875.1,Enterovirus B84
GCA_008798755.1,Enterovirus B85
GCA_008798735.1,Enterovirus B86
GCA_031120535.1,Enterovirus B87
GCA_008798695.1,Enterovirus B88
GCA_006425375.1,Psittacine adenovirus 1
GCA_002600105.1,Enterobacteria phage L17
GCA_002600125.1,Enterobacteria phage PR3
GCA_002600145.1,Enterobacteria phage PR4
GCA_002600165.1,Enterobacteria phage PR5
GCA_000927035.1,Berrimah virus
GCA_000927315.1,Kimberley virus
GCA_000895515.1,Kotonkan virus
GCA_013088525.1,Charleville virus
GCA_000927215.1,Almpiwar virus
GCA_000904355.1,Tibrogargan virus
GCA_002119045.1,Parry Creek virus
GCA_002118505.1,Le Dantec virus
GCA_002118965.1,Fukuoka virus
GCA_000925635.1,Oak-Vale virus
GCA_000894075.1,Gordonia phage GTE5
GCA_009909525.1,Cetacean poxvirus 1
GCA_000863745.1,Chrysodeixis chalcites nucleopolyhedrovirus
GCA_031767595.1,Squash leaf curl China virus - [Pumpkin: Coimbatore]
GCA_000860185.1,Staphylococcus phage PT1028
GCA_000858585.1,Staphylococcus phage 66
GCA_000858605.1,Staphylococcus phage 2638A
GCA_000860245.1,Staphylococcus phage ROSA
GCA_000915195.1,Bidens mosaic virus
GCA_000862645.1,Aeromonas phage 31
GCA_031120545.1,SARS coronavirus BJ162
GCA_031120555.1,SARS coronavirus BJ202
GCA_002986275.1,Tellina virus 1
GCA_006465685.1,Orange-spotted grouper iridovirus
GCA_000869685.1,Acanthocystis turfacea chlorella virus 1
GCA_000867105.1,Konjac mosaic virus
GCA_000865905.1,J-virus
GCA_000857585.1,Xanthomonas phage Xp15
GCA_000868605.1,Blackberry virus Y
GCA_031120565.1,Rabbit polyomavirus
GCA_003177815.1,Lynx rufus papillomavirus type 1
GCA_004065875.1,Duck circovirus
GCA_031120575.1,Apple scar skin viroid-C
GCA_000865765.1,Ludwigia yellow vein virus
GCA_000865025.1,Ludwigia yellow vein virus-associated DNA beta
GCA_031583625.1,Mourilyan virus
GCA_008797815.1,Enterovirus C96
GCA_008798675.1,Enterovirus B97
GCA_008797855.1,Enterovirus B100
GCA_031120605.1,Human papillomavirus type 27b
GCA_000893795.1,Nam Dinh virus
GCA_006447455.1,Human adenovirus 7d2
GCA_000926935.1,Vanilla distortion mosaic virus
GCA_000864065.1,Sida yellow vein virus satellite DNA beta
GCA_000864025.1,Haloarcula hispanica virus SH1
GCA_000873145.1,Clerodendron yellow mosaic virus
GCA_000870265.1,Raspberry leaf mottle virus
GCA_000889735.1,Okra yellow mosaic Mexico virus
GCA_001654245.1,Tropical soda apple mosaic virus
GCA_002988015.1,Croton yellow vein betasatellite
GCA_000879335.1,Radish mosaic virus
GCA_031120615.1,Sapovirus Po/OH-JJ681/2000/US
