GCA_004327225.1,Pseudomonas sp. FRB 230
GCA_030336975.1,Citrobacter sp. Cb014
GCA_030336965.1,Citrobacter sp. Cb013
GCA_030336935.1,Citrobacter sp. Cb011
GCA_030336925.1,Citrobacter sp. Cb010
GCA_030336995.1,Citrobacter sp. Cb009
GCA_030337025.1,Citrobacter sp. Cb008
GCA_030337045.1,Citrobacter sp. Cb007
GCA_030337075.1,Citrobacter sp. Cb005
GCA_030337065.1,Citrobacter sp. Cb004
GCA_030337085.1,Citrobacter sp. Cb003
GCA_030337115.1,Citrobacter sp. Cb002
GCA_030337145.1,Citrobacter sp. Ca226
GCA_030337175.1,Citrobacter sp. Ca225
GCA_025837015.1,Oceanotoga sp. DSM 15011
GCA_026420845.1,Streptomyces sp. PR69
GCA_026013415.1,Sphingomonas caeni
GCA_026183895.1,Roseococcus sp. MDT2-1-1
GCA_026262575.1,Streptomyces sp. JHD 1
GCA_026262595.1,Gordonia aquimaris
GCA_028411915.1,Lentilactobacillus sp. Egmn17
GCA_026725475.1,Catenovulum sp. TS8
GCA_025905465.1,Weizmannia sp. WK01
GCA_025780075.1,Ureaplasma sp. ES3154-GEN
GCA_025813715.1,Methylobacterium sp. FF17
GCA_025854375.1,Glutamicibacter sp. JL.03c
GCA_025716945.1,Geodermatophilus sp. YIM 151500
GCA_025854335.1,Pelagibacterium sp. YIM 151497
GCA_026274175.1,Streptomyces beihaiensis
GCA_025716875.1,Marinomonas sp. C2222
GCA_023383145.1,Olivibacter sp. UJ_SKK_5.1
GCA_027924405.1,Nocardia sputorum
GCA_025751475.1,Rhodobacteraceae bacterium XHP0102
GCA_029588895.1,Bacillus sp. B6(2022)
GCA_025751515.1,Actibacterium sp. XHP0104
GCA_025751535.1,Lentibacter sp. XHP0401
GCA_025751555.1,Ruegeria sp. XHP0148
GCA_025751575.1,Defluviimonas sp. WL0075
GCA_025751585.1,Aestuariibacter sp. AA17
GCA_025736875.1,Acetobacteraceae bacterium (ex Diaphorina citri)
GCA_028550415.1,Asticcacaulis aquaticus
GCA_028550435.1,Asticcacaulis machinosus
GCA_028550395.1,Asticcacaulis currens
GCA_030056655.1,Flectobacillus sp. LFS242W
GCA_030056625.1,Flectobacillus sp. DC10W
GCA_030056705.1,Flectobacillus sp. LYT7W
GCA_028548455.1,Vogesella aquatica
GCA_028548475.1,Vogesella margarita
GCA_025751435.1,Defluviimonas sp. WL0002
GCA_025673475.1,Defluviimonas sp. WL0024
GCA_025673445.1,Ruegeria sp. WL0004
GCA_027737865.1,Campylobacter sp. CN_NA1
GCA_027737945.1,Campylobacter sp. CN_NE3
GCA_027737985.1,Campylobacter sp. CN_NE4
GCA_027738065.1,Campylobacter sp. CN_NE1
GCA_027797465.1,Campylobacter sp. CN_NE2
GCA_027738385.1,Campylobacter sp. CN_NA2
GCA_027738075.1,Campylobacter sp. CN_EL2
GCA_027738125.1,Campylobacter sp. CN_EL1
GCA_027797495.1,Campylobacter sp. CS_NA3
GCA_027738185.1,Campylobacter sp. CS_ED2
GCA_027738295.1,Campylobacter sp. CS_ED1
GCA_027738265.1,Campylobacter sp. CS_NA1
GCA_027738315.1,Campylobacter sp. CS_NA2
GCA_030398685.1,Apilactobacillus sp. EABW-1NA
GCA_026163565.1,Chryseobacterium sp. YIM B08800
GCA_025751495.1,Defluviimonas sp. WL0050
GCA_029607905.1,Thiovibrio frasassiensis
GCA_955652715.1,uncultured Candidatus Udaeobacter sp.
GCA_025971945.1,Chryseobacterium kimseyorum
GCA_026240795.1,Thermoanaerobacter sp. RKWS2
GCA_027736965.1,Campylobacter sp. JMF_11 EL3
GCA_027736985.1,Campylobacter sp. JMF_07 ED4
GCA_027737105.1,Campylobacter sp. VBCF_03 NA9
GCA_027736975.1,Campylobacter sp. JMF_05 ED3
GCA_027737145.1,Campylobacter sp. JMF_09 ED2
GCA_027797205.1,Campylobacter sp. VBCF_01 NA2
GCA_027737225.1,Campylobacter sp. VBCF_07 NA4
GCA_027737305.1,Campylobacter sp. VBCF_02 NA5
GCA_027737245.1,Campylobacter sp. VBCF_08 NA3
GCA_027737365.1,Campylobacter sp. JMF_01 NE2
GCA_027737445.1,Campylobacter sp. JMF_03 NE3
GCA_027737405.1,Campylobacter sp. VBCF_04 NA7
GCA_027737485.1,Campylobacter sp. VBCF_05 NA6
GCA_027737535.1,Campylobacter sp. JMF_10 EL2
GCA_027737585.1,Campylobacter sp. JMF_14 EL1
GCA_027737625.1,Campylobacter sp. JMF_02 ED1
GCA_027737645.1,Campylobacter sp. JMF_15 NE4
GCA_027737655.1,Campylobacter sp. JMF_04 NA10
GCA_027737785.1,Campylobacter sp. JMF_06 NA1
GCA_027737825.1,Campylobacter sp. VBCF_06 NA8
GCA_027737875.1,Campylobacter sp. JMF_08 NE1
GCA_027258455.1,Escherichia coli O76
GCA_020555905.1,Candidatus Bathyanammoxibius sp.
GCA_025717045.1,Flavobacterium sp. SH_e
GCA_026460945.1,Chryseobacterium luquanense
GCA_025716995.1,Streptomyces sp. ICN988
GCA_026619435.1,Hoeflea ulvae
GCA_026619415.1,Hoeflea algicola
GCA_025717005.1,Actinotalea sp. M2MS4P-6
GCA_026314945.1,Chryseobacterium sp. MMS21-Ot14
GCA_025717065.2,Tahibacter soli
GCA_030686875.1,Kaistella sp. SH11-4b
GCA_030143245.1,Rhabdaerophilum sp. SD176
GCA_023155535.1,Shewanella sp. JNE3-1
GCA_023155625.1,Shewanella sp. JNE4-1
GCA_023155465.1,Shewanella sp. JNE4-2
GCA_023155395.1,Shewanella sp. JNE8
GCA_023155445.1,Shewanella sp. JNE9-1
GCA_023155385.1,Shewanella sp. JNE17
GCA_026965885.1,Streptomyces sp. HB2AG
GCA_025630755.1,Acutalibacter sp. LFL-21
GCA_025916425.1,Bacillus pretiosus
GCA_025630775.1,Actinoplanes sp. KI2
GCA_025642195.1,Psychrobacter sp. SC65A.3
GCA_025630795.1,Acinetobacter sp. AYS6
GCA_029433525.1,Enterobacteriaceae bacterium ESL0689
GCA_025736815.1,Chryseobacterium sp. PET-29
GCA_030374125.1,Pseudomonas sp. SO81
GCA_029433415.1,Acetobacteraceae bacterium ESL0709
GCA_029433495.1,Acetobacteraceae bacterium ESL0697
GCA_029391995.1,Streptococcaceae bacterium ESL0729
GCA_029392475.1,Streptococcaceae bacterium ESL0687
GCA_029433365.1,Orbaceae bacterium ESL0721
GCA_029433345.1,Orbaceae bacterium ESL0727
GCA_029433475.1,Neisseriaceae bacterium ESL0693
GCA_029433265.1,Leuconostocaceae bacterium ESL0958
GCA_029392055.1,Leuconostocaceae bacterium ESL0723
GCA_029395355.1,Bifidobacterium sp. ESL0800
GCA_029395415.1,Bifidobacterium sp. ESL0798
GCA_029433255.1,Lactobacillus sp. ESL0791
GCA_029395435.1,Bifidobacterium sp. ESL0790
GCA_029395455.1,Lactobacillus sp. ESL0785
GCA_029433295.1,Bifidobacterium sp. ESL0784
GCA_029395475.1,Bifidobacterium sp. ESL0775
GCA_029395495.1,Bifidobacterium sp. ESL0769
GCA_029395515.1,Bifidobacterium sp. ESL0764
GCA_029433395.1,Bifidobacterium sp. ESL0763
GCA_029433335.1,Bifidobacterium sp. ESL0745
GCA_029395535.1,Bifidobacterium sp. ESL0732
GCA_029395555.1,Lactobacillus sp. ESL0731
GCA_029392015.1,Bifidobacterium sp. ESL0728
GCA_029392075.1,Bifidobacterium sp. ESL0704
GCA_029433435.1,Lactobacillus sp. ESL0703
GCA_029433445.1,Lactobacillus sp. ESL0701
GCA_029392095.1,Lactobacillus sp. ESL0700
GCA_029392135.1,Acinetobacter sp. ESL0695
GCA_029392315.1,Bifidobacterium sp. ESL0690
GCA_029392675.1,Lactobacillus sp. ESL0684
GCA_029392815.1,Bifidobacterium sp. ESL0682
GCA_029392835.1,Lactobacillus sp. ESL0681
GCA_029392855.1,Lactobacillus sp. ESL0680
GCA_029433515.1,Lactobacillus sp. ESL0679
GCA_029392875.1,Lactobacillus sp. ESL0677
GCA_028278755.1,Candidatus Poriferisodalis multihospitum
GCA_028278785.1,Candidatus Poriferisocius anaerobius
GCA_028278795.1,Candidatus Poriferisocius aerobius
GCA_028278945.1,Candidatus Hopanoidivorans cymbastelae
GCA_028283225.1,Candidatus Aldehyrespirator catecholifindens
GCA_028279005.1,Candidatus Spongiisocius variivorans
GCA_030284525.1,Bacillus sp. L381
GCA_030077625.1,Gordonia sp. L191
GCA_026413145.1,Limosilactobacillus kribbianus
GCA_025725665.1,Halomonas sp. LR3S48
GCA_030116705.1,Streptomyces sp. ML-6
GCA_025725685.1,Halomonas sp. M4R1S46
GCA_025725645.1,Halomonas sp. GD1P12
GCA_025628935.1,Macrococcus sp. TMW 2.2395
GCA_023213195.1,Sphingobacteriales bacterium JAD_PAG50586_3
GCA_030586815.1,'Planchonia careya' phytoplasma
GCA_030588185.1,'Melaleuca sp.' phytoplasma
GCA_030586975.1,'Gossypium sp.' phytoplasma
GCA_030586905.1,'Bituminaria bituminosa' little leaf phytoplasma
GCA_030586865.1,'Crotalaria aegyptiaca' phytoplasma
GCA_032886705.1,'Bonamia sp.' little leaf phytoplasma
GCA_027924105.1,Polynucleobacter sp. KF022
GCA_031885415.1,Microbacterium sp. A(2022)
GCA_026013155.1,Paenarthrobacter sp. PAE-2
GCA_025665335.1,Xanthomonas sp. AM6
GCA_025628895.1,Alteromonas salexigens
GCA_025628885.1,Paraflavisolibacter caeni
GCA_025548475.1,Gaetbulibacter sp. NE
GCA_025567575.1,Paenibacillus sp. WQ 127069
GCA_016716665.1,Candidatus Opimibacter iunctus
GCA_016715165.1,Candidatus Opimibacter skivensis
GCA_016713905.1,Candidatus Vicinibacter proximus
GCA_016705745.1,Candidatus Vicinibacter affinis
GCA_016706665.1,Candidatus Parvibacillus calidus
GCA_016717085.1,Candidatus Brachybacter algidus
GCA_016712225.1,Candidatus Defluviibacterium haderslevense
GCA_023242925.1,Hyphomonadaceae bacterium JAD_PAG50586_4
GCA_023213215.1,Flavobacterium sp. JAD_PAG50586_2
GCA_026624755.1,Robbsia betulipollinis
GCA_026015885.1,Halocynthiibacter sp. SDUM655004
GCA_025567465.1,Roseburia amylophila
GCA_025567125.1,Phocaeicola fibrisolvens
GCA_025567605.1,Oscillibacter acetigenes
GCA_025567065.1,Megasphaera butyrica
GCA_025567175.1,Faecalicatena acetigenes
GCA_027687145.1,Dorea amylophila
GCA_025567415.1,Dorea ammoniilytica
GCA_025567385.1,Dorea acetigenes
GCA_025567285.1,Coprococcus aceti
GCA_025567345.1,Coprococcus ammoniilyticus
GCA_025566905.1,[Clostridium] ammoniilyticum
GCA_025566865.1,Blautia acetigignens
GCA_025566965.1,Blautia ammoniilytica
GCA_025567045.1,Barnesiella propionica
GCA_025567135.1,Bacteroides cellulolyticus
GCA_025567365.1,Anaerostipes amylophilus
GCA_025567315.1,Agathobaculum ammoniilyticum
GCA_025567405.1,Suilimivivens aceti
GCA_025567565.1,Muriventricola aceti
GCA_025567005.1,Muricoprocola aceti
GCA_025567165.1,Laedolimicola ammoniilytica
GCA_025567525.1,Gallintestinimicrobium propionicum
GCA_025567015.1,Brotolimicola acetigignens
GCA_025567095.1,Anthropogastromicrobium aceti
GCA_025567215.1,Huintestinicola butyrica
GCA_025567245.1,Hoministercoradaptatus ammoniilyticus
GCA_020687355.1,Hominimerdicola aceti
GCA_025566885.1,Brotonthovivens ammoniilytica
GCA_025567195.1,Alitiscatomonas aceti
GCA_025566985.1,Aedoeadaptatus acetigenes
GCA_025567485.1,Porcipelethomonas ammoniilytica
GCA_025567305.1,Brotomerdimonas butyrica
GCA_025567085.1,Bovifimicola ammoniilytica
GCA_025567445.1,Suonthocola fibrivorans
GCA_029911315.1,Bifidobacterium catenulatum subsp. catenulatum
GCA_025910025.1,Priestia sp. JV24
GCA_025910055.1,Pantoea sp. JV6
GCA_025910075.1,Pantoea sp. RG18
GCA_025910115.1,Pseudomonas sp. RG1
GCA_025519785.1,Staphylococcus marylandisciuri
GCA_025665295.1,Streptomyces sp. Je 1-4
GCA_026240005.1,Pseudomonas sp. COW5
GCA_032878875.1,Microbacterium sp. AB
GCA_030064675.1,Crossiella sp. CA-258035
GCA_025642115.1,Chitiniphilus sp. CD1
GCA_025642155.1,Streptomyces sp. HUAS 15-9
GCA_025642175.1,Streptomyces sp. HUAS 14-6
GCA_025642135.1,Streptomyces cynarae
GCA_032349115.1,Limnospira sp. Paracas R14
GCA_032350255.1,Limnospira sp. PMC 917.15
GCA_032350335.1,Limnospira sp. PMC 894.15
GCA_032350375.1,Limnospira sp. PMC 737.11
GCA_032350395.1,Limnospira sp. PMC 289.06
GCA_032349125.1,Limnospira sp. PMC 1306.21
GCA_032349105.1,Limnospira sp. PMC 1298.21
GCA_032349175.1,Limnospira sp. PMC 1295.21
GCA_032349335.1,Limnospira sp. PMC 1293.21
GCA_032349385.1,Limnospira sp. PMC 1291.21
GCA_032349395.1,Limnospira sp. PMC 1290.21
GCA_032349365.1,Limnospira sp. PMC 1286.21
GCA_032349445.1,Limnospira sp. PMC 1281.21
GCA_032349535.1,Limnospira sp. PMC 1280.21
GCA_032349615.1,Limnospira sp. PMC 1279.21
GCA_032349635.1,Limnospira sp. PMC 1261.20
GCA_032349705.1,Limnospira sp. PMC 1256.20
GCA_032349665.1,Limnospira sp. PMC 1254.20
GCA_032349795.1,Limnospira sp. PMC 1252.20
GCA_032349865.1,Limnospira sp. PMC 1249.20
GCA_032349855.1,Limnospira sp. PMC 1245.20
GCA_032349925.1,Limnospira sp. PMC 1243.20
GCA_032349905.1,Limnospira sp. PMC 1242.20
GCA_032350055.1,Limnospira sp. PMC 1240.20
GCA_032350105.1,Limnospira sp. PMC 1238.20
GCA_032350135.1,Limnospira sp. PMC 1236.20
GCA_032350155.1,Limnospira sp. PMC 1234.20
GCA_032350165.1,Limnospira sp. PMC 1223.20
GCA_032350315.1,Limnospira sp. PMC 1042.18
GCA_025515305.1,Roseibacterium sp. SDUM158016
GCA_025660655.1,Streptococcus sp. CSL10205-OR2
GCA_025642095.1,Kosakonia sp. ML.JS2a
GCA_028747205.1,Streptomyces sp. CA-278952
GCA_025486315.1,Variovorax sp. N23
GCA_027474825.2,Maribacter sp. Hal144
GCA_025660615.1,Corynebacterium sp. ES2794-CONJ1
GCA_025502525.1,Enterobacter sp. 155105
GCA_029495675.1,Achromobacter sp. SS2-2022
GCA_025515275.1,Catenovulum sp. 2E275
GCA_025447215.1,Bacillus sp. OR9
GCA_025502565.1,Nitrosomonas sp. PLL12-2
GCA_031295575.1,Hallella sp.
GCA_025349965.1,Candidatus Saccharibacteria bacterium TM7i
GCA_025639885.1,Roseovarius pelagicus
GCA_026625145.1,Lacinutrix neustonica
GCA_027564955.1,Spiroplasma sp. Tabriz.8
GCA_025833875.1,Reichenbachiella sp. ABR2-5
GCA_029028005.1,Alkalihalobacterium chitinilyticum
GCA_033041975.1,Bacillus sp. SM-B1
GCA_029850615.1,Kosakonia sp. HypNH10
GCA_030035605.1,Silvimonas soli
GCA_027557445.1,Paenalcaligenes faecalis
GCA_026547205.1,Fervidibacillus halotolerans
GCA_026547225.1,Fervidibacillus albus
GCA_025426275.1,Salmonella sp. 3C
GCA_025628925.2,Aminobacter sp. NyZ550
GCA_025639805.1,Reichenbachiella sp. Wsw4-B4
GCA_030344915.1,Paralcaligenes sp. CC-YST667
GCA_025420485.1,Nesterenkonia sp. GX14115
GCA_025779975.1,Rhizobium sp. TRM96650
GCA_025779995.1,Rhizobium sp. TRM95796
GCA_025780115.1,Rhizobium sp. TRM96647
GCA_026898115.1,Streptomyces sp. S465
GCA_030128825.1,Sphingobium sp. WTD-1
GCA_025770735.1,Shouchella tritolerans
GCA_028369055.1,Cognatishimia sp. SS12
GCA_025502585.1,Reichenbachiella sp. BKB1-1
GCA_026162525.1,Streptomyces sp. NEAU-H33
GCA_028368855.1,Leisingera sp. SS27
GCA_025736935.1,Qipengyuania sp. SS22
GCA_028369065.1,Marinobacter sp. SS21
GCA_025449315.1,Bartonella sp. HY406
GCA_026743145.1,Bartonella sp. HY761
GCA_025917275.1,Pseudomonas agronomica
GCA_025452095.1,Paenarthrobacter sp. JL.01a
GCA_025449275.1,Bartonella sp. HY329
GCA_025449335.1,Bartonella sp. HY328
GCA_025420585.1,Planotetraspora sp. A-T 1434
GCA_029935395.1,Prochlorococcaceae cyanobacterium GMC10_bin_27
GCA_029942215.1,Metamycoplasmataceae bacterium
GCA_029939945.1,Candidatus Izemoplasma sp.
GCA_031292275.1,Desulfocapsaceae bacterium
GCA_026162485.1,Parabacteroides sp. LFL-25
GCA_025399895.1,Streptomyces sp. ASQP_92
GCA_025266855.1,Brevinematales bacterium NS
GCA_030378245.1,Rhizobium sp. CSC1952
GCA_030407165.1,Rhodophyticola sp. CSW1921
GCA_947057495.1,Citrobacter sp. Marseille-Q5395
GCA_025397955.1,Vibrio sp. J502
GCA_025599235.1,Bacillus sp. ST24
GCA_016595145.1,Burkholderia orbicola
GCA_026891095.1,Roseovarius sp. EGI FJ00037
GCA_025336525.1,Chelativorans sp. EGI FJ00035
GCA_025336545.1,Eubacterium sp. LFL-14
GCA_026191475.2,Polaribacter sp. MSW5
GCA_029636065.1,Synechococcus sp. CCFWC 502
GCA_025398155.2,Roseateles sp. BIM B-1768
GCA_025452255.1,Devosia sp. A8/3-2
GCA_025452215.1,Phyllobacterium sp. A18/5-2
GCA_025208485.1,Salmonella enterica subsp. arizonae serovar 56:z36:-
GCA_025208505.1,"Salmonella enterica subsp. arizonae serovar 6,7:g,z51:-"
GCA_025208445.1,"Salmonella enterica subsp. salamae serovar 4,12:e,n,x:1,6"
GCA_025208405.1,"Salmonella enterica subsp. enterica serovar 13,23:y:e,n,z15"
GCA_025208425.1,"Salmonella enterica subsp. enterica serovar 6,14:a:1,7"
GCA_025208465.1,"Salmonella enterica subsp. enterica serovar 11:b:1,7"
GCA_025208385.1,"Salmonella enterica subsp. enterica serovar 9:l,z28:1,2"
GCA_025398275.1,Microbacterium sp. PMIC_1C1B
GCA_025336485.1,Pseudomonas citri
GCA_025345615.1,Mycobacterium deserti
GCA_025398335.1,Clostridium sp. CX1
GCA_025398315.1,Shewanella sp. KJ10-1
GCA_025916135.1,Rhodobacteraceae bacterium D3-12
GCA_025527015.1,Winslowiella arboricola
GCA_025290835.2,Aquabacterium sp. OR-4
GCA_025246485.1,Acidovorax sp. K2F
GCA_028278675.1,Candidatus Azophilus lithoversatilis
GCA_028278665.1,Candidatus Rariloculus versatilis
GCA_026162565.1,Flavobacteriaceae bacterium NBU2973
GCA_030650995.1,Sheuella sp.
GCA_030653405.1,Zwartia sp.
GCA_025245835.1,Rheinheimera sp. 4Y26
GCA_028135985.1,Synechococcus sp. AH-779-G23
GCA_028140865.1,Synechococcus sp. AH-736-M20
GCA_028274145.1,Synechococcus sp. AH-707-D15
GCA_028092635.1,Synechococcus sp. AH-601-N10
GCA_028029045.1,Synechococcus sp. AH-601-C19
GCA_028346855.1,Synechococcus sp. AH-551-N17
GCA_028348195.1,Synechococcus sp. AH-551-G15
GCA_028218035.1,Synechococcus sp. AH-224-I15
GCA_028141205.1,Synechococcus sp. AH-736-M02
GCA_028405125.1,Synechococcus sp. AH-736-G21
GCA_028405105.1,Synechococcus sp. AH-736-G20
GCA_028406725.1,Synechococcus sp. AH-736-A19
GCA_028031875.1,Synechococcus sp. AH-707-M23
GCA_028259785.1,Synechococcus sp. AH-707-B22
GCA_028255725.1,Synechococcus sp. AH-603-M21
GCA_028255865.1,Synechococcus sp. AH-603-L18
GCA_028031915.1,Synechococcus sp. AH-601-P18
GCA_028028515.1,Synechococcus sp. AH-601-P06
GCA_028028605.1,Synechococcus sp. AH-601-O20
GCA_028092675.1,Synechococcus sp. AH-601-O06
GCA_028028755.1,Synechococcus sp. AH-601-N23
GCA_028028945.1,Synechococcus sp. AH-601-L23
GCA_028028985.1,Synechococcus sp. AH-601-J22
GCA_028029025.1,Synechococcus sp. AH-601-B19
GCA_028370475.1,Synechococcus sp. AH-558-M21
GCA_028346415.1,Synechococcus sp. AH-551-P21
GCA_028370915.1,Synechococcus sp. AH-551-P10
GCA_028346795.1,Synechococcus sp. AH-551-N23
GCA_028371025.1,Synechococcus sp. AH-551-J03
GCA_028348455.1,Synechococcus sp. AH-551-G03
GCA_028266565.1,Synechococcus sp. AH-551-E19
GCA_028266705.1,Synechococcus sp. AH-551-E11
GCA_028266795.1,Synechococcus sp. AH-551-E05
GCA_028266765.1,Synechococcus sp. AH-551-E02
GCA_028267345.1,Synechococcus sp. AH-551-C10
GCA_028267705.1,Synechococcus sp. AH-551-B05
GCA_028267745.1,Synechococcus sp. AH-551-A21
GCA_028267845.1,Synechococcus sp. AH-551-A10
GCA_028119765.1,Synechococcus sp. AH-229-G18
GCA_028218235.1,Synechococcus sp. AH-224-G16
GCA_028139295.1,Prochlorococcus sp. AH-736-P13
GCA_028141225.1,Prochlorococcus sp. AH-736-L23
GCA_028449725.1,Prochlorococcus sp. AH-736-J10
GCA_028449905.1,Prochlorococcus sp. AH-736-F23
GCA_028450045.1,Prochlorococcus sp. AH-736-E15
GCA_028450165.1,Prochlorococcus sp. AH-736-D21
GCA_028450265.1,Prochlorococcus sp. AH-736-B20
GCA_028406745.1,Prochlorococcus sp. AH-736-A21
GCA_028450405.1,Prochlorococcus sp. AH-716-P20
GCA_028450725.1,Prochlorococcus sp. AH-716-O10
GCA_028450775.1,Prochlorococcus sp. AH-716-O05
GCA_028450805.1,Prochlorococcus sp. AH-716-N03
GCA_028450745.1,Prochlorococcus sp. AH-716-M18
GCA_028407825.1,Prochlorococcus sp. AH-716-M10
GCA_028409135.1,Prochlorococcus sp. AH-716-I19
GCA_028409175.1,Prochlorococcus sp. AH-716-I17
GCA_028409295.1,Prochlorococcus sp. AH-716-I07
GCA_028409285.1,Prochlorococcus sp. AH-716-I05
GCA_028409635.1,Prochlorococcus sp. AH-716-G04
GCA_028409815.1,Prochlorococcus sp. AH-716-F13
GCA_028409835.1,Prochlorococcus sp. AH-716-F10
GCA_028410015.1,Prochlorococcus sp. AH-716-E17
GCA_028410275.1,Prochlorococcus sp. AH-716-D13
GCA_028410475.1,Prochlorococcus sp. AH-716-C14
GCA_028410675.1,Prochlorococcus sp. AH-716-B20
GCA_028410835.1,Prochlorococcus sp. AH-716-B04
GCA_028139385.1,Prochlorococcus sp. AH-736-P10
GCA_028140535.1,Prochlorococcus sp. AH-736-N17
GCA_028140695.1,Prochlorococcus sp. AH-736-N10
GCA_028140765.1,Prochlorococcus sp. AH-736-N03
GCA_028141005.1,Prochlorococcus sp. AH-736-M13
GCA_028141305.1,Prochlorococcus sp. AH-736-L19
GCA_028141325.1,Prochlorococcus sp. AH-736-L17
GCA_028141405.1,Prochlorococcus sp. AH-736-L15
GCA_028141685.1,Prochlorococcus sp. AH-736-K21
GCA_028141695.1,Prochlorococcus sp. AH-736-K20
GCA_028449705.1,Prochlorococcus sp. AH-736-K15
GCA_028449665.1,Prochlorococcus sp. AH-736-K09
GCA_028449885.1,Prochlorococcus sp. AH-736-F17
GCA_028449945.1,Prochlorococcus sp. AH-736-F09
GCA_028449985.1,Prochlorococcus sp. AH-736-E20
GCA_028450025.1,Prochlorococcus sp. AH-736-E19
GCA_028450105.1,Prochlorococcus sp. AH-736-E05
GCA_028450145.1,Prochlorococcus sp. AH-736-E02
GCA_028450125.1,Prochlorococcus sp. AH-736-D23
GCA_028450285.1,Prochlorococcus sp. AH-736-B08
GCA_028450365.1,Prochlorococcus sp. AH-736-B04
GCA_028450445.1,Prochlorococcus sp. AH-736-A20
GCA_028450465.1,Prochlorococcus sp. AH-736-A13
GCA_028450505.1,Prochlorococcus sp. AH-716-P13
GCA_028450645.1,Prochlorococcus sp. AH-716-P08
GCA_028450545.1,Prochlorococcus sp. AH-716-P05
GCA_028450685.1,Prochlorococcus sp. AH-716-O22
GCA_028450625.1,Prochlorococcus sp. AH-716-O13
GCA_028450765.1,Prochlorococcus sp. AH-716-N14
GCA_028450825.1,Prochlorococcus sp. AH-716-M09
GCA_028450845.1,Prochlorococcus sp. AH-716-M06
GCA_028408205.1,Prochlorococcus sp. AH-716-L04
GCA_028408675.1,Prochlorococcus sp. AH-716-K03
GCA_028408715.1,Prochlorococcus sp. AH-716-J21
GCA_028408915.1,Prochlorococcus sp. AH-716-J09
GCA_028409275.1,Prochlorococcus sp. AH-716-I09
GCA_028409595.1,Prochlorococcus sp. AH-716-G10
GCA_028410035.1,Prochlorococcus sp. AH-716-E13
GCA_028410175.1,Prochlorococcus sp. AH-716-D23
GCA_028410195.1,Prochlorococcus sp. AH-716-D22
GCA_028410635.1,Prochlorococcus sp. AH-716-B23
GCA_028410775.1,Prochlorococcus sp. AH-716-B03
GCA_028410995.1,Prochlorococcus sp. AH-716-A09
GCA_028411035.1,Prochlorococcus sp. AH-716-A06
GCA_029455255.1,Arthrobacter sp. EH-1B-1
GCA_025421715.1,Microbacterium sp. W1N
GCA_003269305.1,Paenibacillus sp. MDMC362
GCA_025447575.1,Pseudomonas sp. B2M1-30
GCA_025252405.1,Flavobacterium sp. TR2
GCA_025309455.1,Comamonas sp. PR12
GCA_027497995.1,Stenotrophomonas sp. Iso1
GCA_025517595.1,Streptomyces sp. G-5
GCA_025567625.1,Paenibacillus sp. J5C2022
GCA_026162425.1,Flexivirga sp. Q11
GCA_026230175.1,Desulfovibrio mangrovi
GCA_029873255.1,Pigmentibacter sp. JX0631
GCA_025163595.1,Phaeobacter sp. G2
GCA_026162365.1,Nitratireductor luteus
GCA_028680365.1,Pseudomonas sp. MIL19
GCA_025462905.1,Candidatus Angelobacter sp.
GCA_025102585.1,"Salmonella enterica subsp. houtenae serovar 44:z36,Z38:-"
GCA_025102605.1,"Salmonella enterica subsp. enterica serovar 6,14:z:e,n,x"
GCA_025102945.1,"Salmonella enterica subsp. enterica serovar 6,14:y:1,7"
GCA_025101965.1,"Salmonella enterica subsp. enterica serovar 4,5,12:b:- var L (+) tartrate +"
GCA_025102685.1,"Salmonella enterica subsp. enterica serovar 3:e,h:1,6"
GCA_025101925.1,Salmonella enterica subsp. enterica serovar 18:-:-
GCA_025102645.1,"Salmonella enterica subsp. enterica serovar 16:l,v:-"
GCA_025103065.1,"Salmonella enterica subsp. enterica serovar 14:z:e,n,x"
GCA_025102565.1,"Salmonella enterica subsp. enterica serovar 13,23:-:-"
GCA_025102545.1,"Salmonella enterica subsp. enterica serovar -:r:1,2"
GCA_025103025.1,"Salmonella enterica subsp. enterica serovar -:i:1,2"
GCA_025102625.1,"Salmonella enterica subsp. enterica serovar -:d:1,5"
GCA_025102925.1,"Salmonella enterica subsp. enterica serovar -:d:1,2"
GCA_025102525.1,Salmonella enterica subsp. enterica serovar 45:b:-
GCA_025102665.1,Salmonella enterica subsp. enterica serovar -:k:-
GCA_029201605.1,Pseudomonas sp. FJ2-5-13
GCA_029201585.1,Pseudomonas sp. SD17-1
GCA_025200885.1,Bradyrhizobium sp. CB3035
GCA_025200905.1,Bradyrhizobium sp. CB1024
GCA_025200925.1,Bradyrhizobium sp. CB1015
GCA_029201625.1,Sinorhizobium sp. M103
GCA_029201645.1,Sinorhizobium sp. K101
GCA_029201665.1,Sinorhizobium sp. C101
GCA_028864635.1,Cloacibacterium sp. TD35
GCA_026695425.1,Aerococcus sp. Group 1
GCA_905125285.1,Aerococcus sp. Group 2
GCA_905125235.1,Aerococcus mictus
GCA_008726285.1,Aerococcus loyolae
GCA_025195015.1,Candidatus Regnicoccus frigidus MAG-AL2
GCA_025194985.1,Candidatus Regnicoccus frigidus MAG-AL1
GCA_025209805.1,Bacillus sp. DN_7.5
GCA_030540825.1,Flavivirga sp. MEBiC05379
GCA_030398335.1,Aquibium sp. A9E412
GCA_030398385.1,Aquibium sp. ELW1220
