GCA_900327555.1,Cowpox virus
GCA_000839845.1,Cotton leaf curl Multan virus
GCA_031766105.1,Cotton leaf curl Multan virus-[26]
GCA_000841225.1,Cotton leaf curl Multan virus-[62]
GCA_031766115.1,Cotton leaf curl Multan virus-[Faisalabad2]
GCA_002986465.1,Cotton leaf curl Multan virus-[Faisalabad3]
GCA_031766125.1,Cotton leaf curl Multan virus-[Okra]
GCA_031766135.1,Cotton leaf curl Rajasthan virus
GCA_002822245.1,Cowpea golden mosaic virus-[Nigeria]
GCA_031766145.1,Cucurbit leaf crumple virus - [Arizona]
GCA_000858965.1,East African cassava mosaic Cameroon virus
GCA_031766155.1,East African cassava mosaic Cameroon virus-[Ivory Coast]
GCA_000912855.1,East African cassava mosaic Malawi virus
GCA_002986505.1,East African cassava mosaic Malawi virus-Malawi[K]
GCA_031766165.1,East African cassava mosaic virus-[Tanzania]
GCA_031766175.1,East African cassava mosaic virus-Uganda2 (Uganda variant)
GCA_000859785.1,East African cassava mosaic virus-Uganda2 Severe
GCA_000845125.1,East African cassava mosaic Zanzibar virus
GCA_002986575.1,Eupatorium yellow vein virus-[MNS2]
GCA_000842745.1,Hollyhock leaf crumple virus-[Cairo]
GCA_031117295.1,Indian cassava mosaic virus-[Maharashtra]
GCA_000846245.1,Macroptilium mosaic Puerto Rico virus
GCA_000844525.1,Macroptilium yellow mosaic Florida virus
GCA_002986635.1,Macroptilium yellow mosaic virus-[Cuba]
GCA_001430695.1,Melon chlorotic leaf curl virus-[Guatemala]
GCA_000858565.1,Mungbean yellow mosaic India virus
GCA_031766205.1,Mungbean yellow mosaic India virus-[Bangladesh]
GCA_031833935.1,Mungbean yellow mosaic India virus-[Soybean]
GCA_031766215.1,Mungbean yellow mosaic virus-Soybean[Madurai]
GCA_031766225.1,Mungbean yellow mosaic virus-Thailand
GCA_031766235.1,Mungbean yellow mosaic virus-Vigna
GCA_031766245.1,Mungbean yellow mosaic virus-Vigna[Maharashtra]
GCA_000840545.1,Okra yellow vein mosaic virus-[201]
GCA_002823065.1,Pepper golden mosaic virus
GCA_002823045.1,Pepper golden mosaic virus-[CR]
GCA_000839505.1,Pepper huasteco yellow vein virus
GCA_031766255.1,Pepper huasteco yellow vein virus-[Sinaloa]
GCA_000842805.1,Pepper leaf curl Bangladesh virus
GCA_002823145.1,Pepper leaf curl virus-[Malaysia]
GCA_000839305.1,Potato yellow mosaic Panama virus
GCA_000838665.1,Potato yellow mosaic virus - [Venezuela]
GCA_031766275.1,Potato yellow mosaic virus-[Guadeloupe]
GCA_002823265.1,Rhynchosia golden mosaic virus-[Chiapas]
GCA_000840525.1,Sida golden mosaic Costa Rica virus
GCA_031766285.1,Sida golden mosaic Florida virus
GCA_002823365.1,Sida golden mosaic Florida virus-USA
GCA_000841325.1,Sida golden mosaic Honduras virus
GCA_031766385.1,Sida golden yellow vein virus
GCA_002823405.1,Sida golden yellow vein virus-[A11]
GCA_000841285.1,Sida mottle virus-[Brazil]
GCA_000864865.1,Sida yellow mosaic virus-[Brazil]
GCA_000843025.1,Sida yellow vein virus
GCA_031766435.1,Squash leaf curl China virus
GCA_000844565.1,Squash mild leaf curl virus-[Imperial Valley]
GCA_000858725.1,Sri Lankan cassava mosaic virus-[Colombo]
GCA_000843765.1,Stachytarpheta leaf curl virus - [Hn5]
GCA_000842125.1,Sweet potato leaf curl Georgia virus-[16]
GCA_031766445.1,Tobacco curly shoot virus - [Y1]
GCA_000842145.1,Tobacco leaf curl Japan virus
GCA_031117315.1,Tobacco leaf curl Japan virus-[JP2]
GCA_031766475.1,Tobacco leaf curl Yunnan virus-[Y3]
GCA_000838925.1,Tobacco leaf curl Zimbabwe virus
GCA_000838345.1,Tomato chlorotic mottle virus-[Brazil]
GCA_002823945.1,Tomato chlorotic mottle virus-Crumple
GCA_000839565.1,Tomato golden mosaic virus-Yellow vein
GCA_000839225.1,Tomato golden mottle virus
GCA_031766505.1,Tomato golden mottle virus-[GT94-R2]
GCA_000840445.1,Tomato leaf curl Bangladesh virus
GCA_000842065.1,Tomato leaf curl Laos virus
GCA_000843005.1,Tomato leaf curl Malaysia virus
GCA_900079295.1,Tomato leaf curl New Delhi virus
GCA_000842925.1,Tomato leaf curl New Delhi virus-Severe
GCA_000841305.1,Tomato leaf curl Sri Lanka virus
GCA_000838425.1,Tomato leaf curl virus-[AU]
GCA_002824405.1,Tomato leaf curl virus-[Solanum species D1]
GCA_031117325.1,Tomato leaf curl virus-[Solanum species D2]
GCA_000837605.1,Tomato mosaic Havana virus-[Quivican]
GCA_000838745.1,Tomato mottle Taino virus
GCA_000837105.1,Tomato mottle virus-[Florida]
GCA_000837205.1,Tomato rugose mosaic virus-[Ube]
GCA_000845785.1,Tomato severe leaf curl virus-[Guatemala 96-1]
GCA_031766555.1,Watermelon chlorotic stunt virus-[IR]
GCA_031766575.1,Watermelon chlorotic stunt virus-[SD]
GCA_000840605.1,Vibrio phage VGJ
GCA_000897495.1,Grapevine Anatolian ringspot virus
GCA_031766615.1,Macroptilium mosaic Puerto Rico virus-[Bean]
GCA_000868425.1,Murine norovirus 1
GCA_000843745.1,Adoxophyes honmai nucleopolyhedrovirus
GCA_000854205.1,Barley yellow dwarf virus GAV
GCA_002601265.1,Chlamydia phage 3
GCA_000843085.1,Lomovskayavirus BT1
GCA_002815035.1,Iguanid herpesvirus 2
GCA_000919495.1,Reptilian orthoreovirus
GCA_000855845.1,Strawberry pallidosis-associated virus
GCA_000843345.1,Yersinia phage phiA1122
GCA_000864885.1,SARS coronavirus Tor2
GCA_031117335.1,Human endogenous retrovirus HCML-ARV
GCA_031117345.1,SARS coronavirus Urbani
GCA_031117355.1,SARS coronavirus HKU-39849
GCA_031117365.1,SARS coronavirus BJ02
GCA_031117375.1,SARS coronavirus BJ01
GCA_031117385.1,SARS coronavirus BJ03
GCA_031117395.1,SARS coronavirus CUHK-W1
GCA_000852505.1,Youcai mosaic virus
GCA_000848445.1,Cereal yellow dwarf virus RPS
GCA_031117405.1,SARS coronavirus BJ04
GCA_031323605.1,Influenza B virus (B/Memphis/12/97-MA)
GCA_000840905.1,Sida micrantha mosaic virus
GCA_000883515.1,Cactus mild mottle virus
GCA_000853605.1,Johnsongrass chlorotic stripe mosaic virus
GCA_031117415.1,SARS coronavirus CUHK-Su10
GCA_002822845.1,Papaya leaf curl China virus
GCA_002824085.1,Tomato leaf curl China virus
GCA_031117425.1,SARS coronavirus Frankfurt 1
GCA_031117435.1,SARS coronavirus TW1
GCA_000859205.1,Haemophilus phage Aaphi23
GCA_000879395.1,Cryphonectria parasitica mycoreovirus-1 (9B21)
GCA_031117445.1,SARS coronavirus ZJ01
GCA_002829805.1,Extra small virus
GCA_031117455.1,Civet SARS CoV SZ3/2003
GCA_031117465.1,Civet SARS CoV SZ16/2003
GCA_031117475.1,SARS coronavirus GZ50
GCA_002833825.1,Feldmannia irregularis virus a
GCA_031117485.1,Tomato yellow leaf curl Axarquia virus
GCA_000856945.1,Varroa destructor virus 1
GCA_004086415.1,Mulard duck circovirus
GCA_031117495.1,SARS coronavirus GD01
GCA_023119345.1,Helicobasidium mompa mitovirus 1-18
GCA_000925375.1,Hibiscus latent Fort Pierce virus
GCA_000898115.1,Grapevine deformation virus
GCA_031117505.1,SARS coronavirus TWC
GCA_031117515.1,Sapovirus Mc2
GCA_000853825.1,Sapovirus Mc10
GCA_031117525.1,Sapovirus Mc114
GCA_031117535.1,Sapovirus N21
GCA_000843945.1,Tomato begomovirus satellite DNA beta
GCA_031117545.1,SARS coronavirus HSR 1
GCA_031117555.1,Human calicivirus strain Mc37
GCA_029685705.1,Myxococcus phage Mx9
GCA_000842625.1,Captovirus AFV1
GCA_031117565.1,SARS coronavirus Sin2774
GCA_031117575.1,SARS coronavirus Sin2748
GCA_031117585.1,SARS coronavirus Sin2679
GCA_031117595.1,SARS coronavirus Sin2677
GCA_031117605.1,SARS coronavirus Sin2500
GCA_000872885.1,Ceratocystis polonica partitivirus
GCA_000864265.1,Rosellinia necatrix partitivirus 1-W8
GCA_000841545.1,Bacillus phage Bam35c
GCA_900197435.1,Porcine torovirus
GCA_031117615.1,SARS coronavirus Taiwan TC1
GCA_031117625.1,SARS coronavirus Taiwan TC2
GCA_000926575.1,Lyssavirus khujand
GCA_031522495.1,Epizootic hemorrhagic disease virus 6
GCA_031522505.1,Epizootic hemorrhagic disease virus 7
GCA_002145825.3,Maporal virus
GCA_009674105.1,Synechococcus phage S-PM2
GCA_004216455.1,Vibrio phage VP16T
GCA_004216435.1,Vibrio phage VP16C
GCA_002815975.1,Carajas virus
GCA_031117635.1,SARS coronavirus CUHK-AG01
GCA_031117645.1,SARS coronavirus CUHK-AG02
GCA_031117655.1,SARS coronavirus CUHK-AG03
GCA_013088685.1,uncultured human fecal virus
GCA_000853405.1,Enzootic nasal tumour virus of goats
GCA_000863545.1,Heterosigma akashiwo RNA virus SOG263
GCA_031117665.1,SARS coronavirus Taiwan TC3
GCA_002827585.1,Paramecium bursaria Chlorella virus AL2A
GCA_002827645.1,Paramecium bursaria Chlorella virus NE8A
GCA_003093795.1,Paramecium bursaria Chlorella virus MA1E
GCA_002827605.1,Paramecium bursaria Chlorella virus CA4B
GCA_002827665.1,Paramecium bursaria Chlorella virus XZ4C
GCA_003093815.1,Paramecium bursaria Chlorella virus MA1D
GCA_003093775.1,Paramecium bursaria Chlorella virus AN69C
GCA_003093835.1,Paramecium bursaria Chlorella virus NY2B
GCA_031117675.1,SARS coronavirus ZMY 1
GCA_000913615.1,Squirrelpox virus
GCA_000842645.1,Tomato chino La Paz virus
GCA_031117685.1,SARS coronavirus TWH
GCA_031117695.1,SARS coronavirus TWJ
GCA_031117705.1,SARS coronavirus TWK
GCA_031117715.1,SARS coronavirus TWS
GCA_031117725.1,SARS coronavirus TWY
GCA_000855305.1,Ectropis obliqua picorna-like virus
GCA_000863825.1,Tomato yellow leaf curl China alphasatellite
GCA_002829645.1,Endogenous langur type D retrovirus PO-1-Lu
GCA_000843705.1,Honeysuckle yellow vein virus
GCA_000859185.1,Honeysuckle yellow vein virus-[UK1]
GCA_031117735.1,Honeysuckle yellow vein virus-[UK2]
GCA_003972685.1,Lates calcarifer encephalitis virus
GCA_002817515.1,Cole latent virus
GCA_031117745.1,SARS coronavirus TWC2
GCA_031117755.1,SARS coronavirus TWC3
GCA_000852705.1,Mossman virus
GCA_002987515.1,Amaranthus leaf mottle virus
GCA_031117765.1,SARS coronavirus FRA
GCA_000840725.1,Burkholderia phage BcepNazgul
GCA_000859525.1,Calicivirus isolate TCG
GCA_000869645.1,Strawberry necrotic shock virus
GCA_002987685.1,Tuberose mild mottle virus
GCA_000838445.1,Sulfolobus spindle-shaped virus 1
GCA_000842405.1,Sulfolobus spindle-shaped virus 2
GCA_006444555.1,Human adenovirus 51
GCA_000855565.1,Cryphonectria hypovirus 4
GCA_023157005.1,Liao ning virus
GCA_031117775.1,Canine parvovirus 2
GCA_000841525.1,Ralstonia phage p12J
GCA_031117785.1,SARS coronavirus WHU
GCA_003177775.1,Human papillomavirus 93
GCA_000864825.1,Human papillomavirus type 96
GCA_031551535.1,Sevenband grouper nervous necrosis virus
GCA_002118485.1,Farallon virus
GCA_014883285.1,Raza virus
GCA_014883275.1,Punta Salinas virus
GCA_014883235.1,Abu Hammad virus
GCA_014883245.1,Abu Mina virus
GCA_018594855.1,Bandia virus
GCA_001629985.1,Erve virus
GCA_031117795.1,SARS coronavirus AS
GCA_000842585.1,Sulfolobus virus Kamchatka 1
GCA_003080635.1,Bluetongue virus 5
GCA_003080655.1,Bluetongue virus 6
GCA_003080475.1,Bluetongue virus 7
GCA_003081035.1,Bluetongue virus 14
GCA_003080535.1,Bluetongue virus 19
GCA_003080855.1,Bluetongue virus 22
GCA_003080975.1,Bluetongue virus 24
GCA_008799935.1,Sapovirus Hu/Bristol/1998/UK
GCA_031117805.1,SARS coronavirus GZ-B
GCA_031117815.1,SARS coronavirus GZ-C
GCA_031117825.1,SARS coronavirus HSZ2-A
GCA_031117835.1,SARS coronavirus HSZ-Bb
GCA_031117845.1,SARS coronavirus HSZ-Cb
GCA_031117855.1,SARS coronavirus HZS2-Fb
GCA_031117865.1,SARS coronavirus HZS2-D
GCA_031117875.1,SARS coronavirus HZS2-E
GCA_031117885.1,SARS coronavirus HZS2-Fc
GCA_031117895.1,SARS coronavirus HZS2-C
GCA_031117905.1,SARS coronavirus HGZ8L2
GCA_031117915.1,SARS coronavirus HSZ-Bc
GCA_031117925.1,SARS coronavirus HSZ-Cc
GCA_031117935.1,SARS coronavirus ZS-B
GCA_031117945.1,SARS coronavirus ZS-A
GCA_031117955.1,SARS coronavirus LC1
GCA_031117965.1,SARS coronavirus LC2
GCA_031117975.1,SARS coronavirus LC3
GCA_031117985.1,SARS coronavirus LC4
GCA_031117995.1,SARS coronavirus LC5
GCA_031118005.1,SARS coronavirus ZS-C
GCA_000847285.1,Neodiprion lecontei nucleopolyhedrovirus
GCA_000905355.1,Lyssavirus irkut
GCA_000924535.1,Lyssavirus caucasicus
GCA_025838275.1,Phaeocystis globosa virus
GCA_031118015.1,Pieris rapae granulovirus
GCA_000844085.1,Snake adeno-associated virus
GCA_031118025.1,SARS coronavirus PUMC01
GCA_031118035.1,SARS coronavirus PUMC02
GCA_031118045.1,SARS coronavirus PUMC03
GCA_002829605.1,Pulau reovirus
GCA_000881915.1,Schlumbergera virus X
GCA_000854525.1,Zygocactus virus X
GCA_000853845.1,Opuntia virus X
GCA_002629865.1,Lactococcus virus P2
GCA_002758415.1,Lactococcus phage Q33
GCA_031118055.1,Small ruminant lentivirus
GCA_002594645.1,Enterobacteria phage 2851
GCA_002830565.1,Havel River virus
GCA_004790415.1,Fusarium graminearum dsRNA mycovirus 2
GCA_000883555.1,Pepper veinal mottle virus
GCA_031118065.1,SARS coronavirus SoD
GCA_000858685.1,Fragaria chiloensis latent virus
GCA_002817615.1,Melon yellowing-associated virus
GCA_000846725.1,Klebsiella phage phiKO2
GCA_002988035.1,Neckar River virus
GCA_002830645.1,Sikte waterborne virus
GCA_000858365.1,Pelargonium necrotic spot virus
GCA_003110445.1,Cucumber mosaic virus (strain Mf)
GCA_031118075.1,SARS coronavirus Sino3-11
GCA_031118085.1,SARS coronavirus Sino1-11
GCA_031085795.1,Cotesia plutellae polydnavirus
GCA_000846165.1,Bovine adeno-associated virus
GCA_002828625.1,Meadow saffron breaking virus
GCA_000844885.1,Lymphocystis disease virus - isolate China
GCA_031118095.1,SARS coronavirus GZ02
GCA_000843445.1,Sulfolobus virus Ragged Hills
GCA_000907115.1,Arracacha virus B
GCA_000913055.1,Potato black ringspot virus
GCA_004061515.1,Muscovy duck circovirus
GCA_002833885.1,Bracoviriform glomeratae
GCA_031118105.1,SARS coronavirus GD69
GCA_031118115.1,Human calicivirus NLV/GII/Langen1061/2002/DE
GCA_002828745.1,Pfaffia mosaic virus
GCA_031118125.1,SARS coronavirus ShanghaiQXC1
GCA_031118135.1,SARS coronavirus ShanghaiQXC2
GCA_031118145.1,Pheasant coronavirus
GCA_031118155.1,SARS coronavirus TW10
GCA_031118165.1,SARS coronavirus TW11
GCA_031118175.1,SARS coronavirus TW2
GCA_031118185.1,SARS coronavirus TW3
GCA_031118195.1,SARS coronavirus TW4
GCA_031118205.1,SARS coronavirus TW5
GCA_031118215.1,SARS coronavirus TW6
GCA_031118225.1,SARS coronavirus TW7
GCA_031118235.1,SARS coronavirus TW8
GCA_031118245.1,SARS coronavirus TW9
GCA_031118255.1,Potato virus Y strain nnp
GCA_000848945.1,Sheldgoose hepatitis B virus
GCA_031118265.1,Ross's goose hepatitis B virus
GCA_006447435.1,Human adenovirus 3+7
GCA_031118275.1,SARS coronavirus HC/SZ/61/03
GCA_000873625.1,Mycobacterium phage U2
GCA_000844065.1,Vibrio phage VP2
GCA_002828125.1,Alstroemeria mosaic virus
GCA_002828165.1,Amazon lily mosaic virus
GCA_002824585.1,Tomato yellow leaf curl Mali virus
GCA_000840925.1,Pepper yellow vein Mali virus
GCA_000841705.1,Tomato leaf curl Mali virus
GCA_000866125.1,Cotton leaf curl Multan virus satellite U36-1
GCA_016467495.1,Cyanophage S-2L
GCA_031118285.1,Kakugo virus
GCA_003177735.1,Human papillomavirus 95
GCA_003177755.1,Human papillomavirus 94
GCA_031118295.1,SARS coronavirus NS-1
GCA_000871485.1,Heliothis virescens ascovirus 3e
GCA_000844445.1,Vibrio phage VP5
GCA_031083365.1,Influenza B virus (B/Akita/27/2001)
GCA_031083475.1,Influenza B virus (B/Shizuoka/15/2001)
GCA_000843525.1,Tomato yellow margin leaf curl virus
GCA_002600085.1,Enterobacteria phage PR772
GCA_023897985.1,Ostreid herpesvirus 1
GCA_001924155.1,Plodia interpunctella granulovirus
GCA_000837125.1,Orgyia pseudotsugata multiple nucleopolyhedrovirus
GCA_031118305.1,Measles virus genotype A
GCA_018591385.1,Cardamom bushy dwarf virus
GCA_031118315.1,Norovirus GIV
GCA_000911095.1,Piper yellow mottle virus
GCA_031118325.1,Bovine viral diarrhea virus 1 strain ZM-95
GCA_000846905.1,Singapore grouper iridovirus
GCA_000842305.1,Tomato leaf curl Java virus
GCA_002821545.1,Ageratum yellow vein virus-[Tomato]
GCA_000854905.1,Sweet potato chlorotic fleck virus
GCA_031118335.1,Passiflora virus Y
GCA_002758435.1,Bordetella phage BMP-1
GCA_002758455.1,Bordetella phage BIP-1
GCA_031118345.1,Possum enterovirus W6
GCA_002824125.1,Tomato leaf curl Java virus-[Ageratum]
GCA_000844785.1,Tomato leaf curl Java virus-[Ageratum] satellite DNA
GCA_000840965.1,Horsegram yellow mosaic virus
GCA_006458685.1,Rock bream iridovirus
GCA_000880895.1,Bougainvillea chlorotic vein banding virus
GCA_000897895.1,Horseradish latent virus
GCA_006472165.1,Ambystoma tigrinum virus
GCA_000867965.1,Ichnoviriform fugitivi
GCA_002820325.1,Mint vein banding-associated virus
GCA_000840985.1,Tomato yellow leaf curl Kanchanaburi virus-[Thailand Kan1]
GCA_031767095.1,Tomato yellow leaf curl Kanchanaburi virus-[Thailand Kan2]
GCA_000858705.1,Chalara elegans RNA Virus 1
GCA_031118355.1,SARS coronavirus Sin842
GCA_031118365.1,SARS coronavirus Sin852
GCA_031118375.1,SARS coronavirus Sin3408
GCA_031118385.1,SARS coronavirus Sin3765V
GCA_031118395.1,SARS coronavirus Sin848
GCA_031118405.1,SARS coronavirus Sin849
GCA_031118415.1,SARS coronavirus Sin3725V
GCA_031118425.1,SARS coronavirus SinP1
GCA_031118435.1,SARS coronavirus SinP2
GCA_031118445.1,SARS coronavirus SinP3
GCA_031118455.1,SARS coronavirus SinP4
GCA_031118465.1,SARS coronavirus SinP5
GCA_031118475.1,SARS coronavirus Sin845
GCA_031118485.1,SARS coronavirus Sin846
GCA_031118495.1,SARS coronavirus Sin847
GCA_031118505.1,SARS coronavirus Sin850
GCA_031118515.1,SARS coronavirus Sin3408L
GCA_000875065.1,Bean yellow disorder virus
GCA_031118525.1,Maize streak virus - [Reunion2]
GCA_000847105.2,Maize streak virus - A[Ama]
GCA_031118535.1,Maize streak virus - A[Gat]
GCA_031118545.1,Maize streak virus - A[KA]
GCA_031118555.1,Maize streak virus - A[Km]
GCA_031118565.1,Maize streak virus - A[Kom]
GCA_031118575.1,Maize streak virus - A[MakD]
GCA_031118585.1,Maize streak virus - A[MatA]
GCA_031118595.1,Maize streak virus - A[MatB]
GCA_031118605.1,Maize streak virus - A[MatC]
GCA_031118615.1,Maize streak virus - A[Sag]
GCA_003048235.1,Maize streak virus - A[South Africa]
GCA_031118625.1,Maize streak virus - B[Jam]
GCA_031118635.1,Maize streak virus - B[Mom]
GCA_031118645.1,Maize streak virus - E[Pat]
GCA_031118655.1,Maize streak virus - Reunion [N2AR2]
GCA_031118665.1,Maize streak virus - Reunion [N2AR3]
GCA_031118675.1,Maize streak virus - Reunion [N2AR4]
GCA_031118685.1,Maize streak virus - Reunion [N2AR5]
GCA_031118695.1,Maize streak virus - Reunion [N2AR6]
GCA_031118705.1,Maize streak virus - Reunion [N2AR8]
GCA_031119715.1,Maize streak virus - Reunion [SP1R10]
GCA_031119725.1,Maize streak virus - Reunion [SP2R11]
GCA_031119735.1,Maize streak virus - Reunion [SP2R12]
GCA_031119745.1,Maize streak virus - Reunion [SP2R13]
GCA_031119755.1,Maize streak virus - Reunion [SP2R7]
GCA_002825105.1,Maize streak virus - [Raw]
GCA_002825085.1,Maize streak virus - [Set]
GCA_031119765.1,Maize streak virus - B[Tas]
GCA_031119775.1,Maize streak virus - B[Vaalhart wheat]
GCA_001876855.1,Anticarsia gemmatalis multiple nucleopolyhedrovirus
GCA_000859585.1,Prochlorococcus phage P-SSM2
GCA_000857985.1,Prochlorococcus phage P-SSM4
GCA_003329525.1,Tiamatvirus PSSP7
GCA_000839945.1,Miscanthus streak virus - [91]
GCA_031767115.1,Miscanthus streak virus - [Japan 98]
GCA_000839585.1,Panicum streak virus - Karino
GCA_002987265.1,Panicum streak virus - [Kenya]
GCA_000840065.1,Sugarcane streak virus - [Natal]
GCA_031119785.1,Sugarcane streak Egypt virus - [Aswan]
GCA_031119795.1,Sugarcane streak Egypt virus - [Ben]
GCA_000841765.1,Sugarcane streak Egypt virus - [Giza]
GCA_031119805.1,Sugarcane streak Egypt virus - [Man]
GCA_031119815.1,Sugarcane streak Egypt virus - [Naga]
GCA_031119825.1,Wheat dwarf virus - [Sweden]
GCA_031119835.1,Maize streak virus - A[Vaalhart maize]
GCA_002824865.1,Beet mild curly top virus - [Worland]
GCA_031119845.1,Beet mild curly top virus - [Worland4]
GCA_002824805.1,Beet severe curly top virus - Cfh
GCA_000843505.1,Beet curly top virus - California [Logan]
GCA_031119855.1,Beet curly top virus - California [Logan/Arabidopsis]
GCA_031119865.1,Ageratum yellow vein China virus - [Hn2.19]
GCA_031088485.1,Cotton leaf curl Gezira virus-[Okra/Shambat]
GCA_000843385.1,Euphorbia leaf curl virus - [G35]
GCA_002822325.1,Eupatorium yellow vein virus - [Yamaguchi]
GCA_002986405.1,Hollyhock leaf crumple virus - [Cairo2]
GCA_031088495.1,Mungbean yellow mosaic India virus - [Akola]
GCA_031088535.1,Mungbean yellow mosaic virus - Soybean [Pakistan]
GCA_031088325.1,Mungbean yellow mosaic virus - Vigna [KA27]
GCA_031767125.1,Papaya leaf curl China virus - [G2]
GCA_000846865.1,Papaya leaf curl China virus - [G8]
GCA_002986735.1,Papaya leaf curl China virus - [G10]
GCA_031767135.1,Papaya leaf curl China virus - [G12]
GCA_002986765.1,Papaya leaf curl China virus - [G30]
GCA_000845145.1,Papaya leaf curl Guangdong virus - [GD2]
GCA_000845405.1,Sulfolobus turreted icosahedral virus 1
GCA_000856225.1,Humulus japonicus latent virus
GCA_031088335.1,South African cassava mosaic virus - [ZW]
GCA_000865805.1,Squash leaf curl China virus - [B]
GCA_031767185.1,Squash leaf curl China virus - [K]
GCA_000843565.1,Squash leaf curl Philippines virus
GCA_031119875.1,Stachytarpheta leaf curl virus - [Hn5.4]
GCA_031119885.1,Stachytarpheta leaf curl virus - [Hn6.1]
GCA_000860165.1,Tobacco leaf curl Yunnan virus - [Y136]
GCA_031119895.1,Tobacco leaf curl Yunnan virus - [Y143]
GCA_031119905.1,Tobacco leaf curl Yunnan virus - [Y161]
GCA_002823905.1,Tomato chino La Paz virus - [Baja California Sur]
GCA_000841345.1,Tomato curly stunt virus - [South Africa]
GCA_002986945.1,Tomato leaf curl China virus - [G18]
GCA_000842525.1,Tomato leaf curl China virus - [G32]
GCA_031767195.1,Tomato leaf curl Gujarat virus - [Nepal]
GCA_000841205.1,Tomato leaf curl Gujarat virus - [Varanasi]
GCA_031119915.1,Rous sarcoma virus - Schmidt-Ruppin B
GCA_031119925.1,Rous sarcoma virus - Schmidt-Ruppin D
GCA_031119935.1,Bovine enterovirus type 2
GCA_000845745.1,Tomato leaf curl Iran virus
GCA_031767205.1,Tomato leaf curl Philippines virus - [LB]
GCA_002824265.1,Tomato leaf curl Sudan virus
GCA_000842665.1,Tomato leaf curl Sudan virus - [Gezira]
GCA_002824285.1,Tomato leaf curl Sudan virus - [Shambat]
GCA_000843585.1,Pyrobaculum spherical virus
GCA_002592885.1,Lactococcus lactis phage 645
GCA_002830625.1,Petunia asteroid mosaic virus
GCA_000916815.1,Eggplant mottled crinkle virus
GCA_002830585.1,Limonium flower distortion virus
GCA_031119945.1,Human calicivirus Hu/NLV/Oxford/B5S22/2003/UK
GCA_000857565.1,Pneumonia virus of mice J3666
GCA_000882455.1,Zantedeschia mild mosaic virus
GCA_031119955.1,Human group 1 coronavirus associated with pneumonia
GCA_000843545.1,Pseudomonas phage PaP2
GCA_031083585.1,Influenza B virus (B/Victoria/504/2000)
GCA_000837145.1,Bombyx mori nucleopolyhedrovirus
GCA_000856605.1,Magnaporthe oryzae virus 1
GCA_004786595.1,Macaca fuscata rhadinovirus
GCA_031119965.1,Norovirus Hu/NLV/Oxford/B4S2/2002/UK
GCA_031119975.1,Norovirus Hu/NLV/Oxford/B4S5/2002/UK
GCA_031119985.1,Norovirus Hu/NLV/Oxford/B4S6/2002/UK
GCA_031119995.1,Norovirus Hu/NLV/Oxford/B4S4/2002/UK
GCA_031120005.1,Norovirus Hu/NLV/Oxford/B4S7/2002/UK
GCA_031120015.1,Norovirus Hu/NLV/Oxford/B4S1/2002/UK
GCA_031120025.1,Norovirus Hu/NLV/Oxford/B2S16/2002/UK
GCA_004129875.1,Adeno-associated virus
GCA_000857905.1,Dendrolimus punctatus virus
GCA_000866825.1,Pseudomonas phage EL
GCA_003972285.1,Solea senegalensis nervous necrosis virus
GCA_004789595.1,Ilesha virus
GCA_009732295.1,Mboke virus
GCA_009732315.1,Tlacotalpan virus
GCA_009732335.1,Playas virus
GCA_004789975.1,Fort Sherman virus
GCA_009732355.2,Lokern virus
GCA_004789275.1,Tensaw virus
GCA_031580235.1,Xingu virus
GCA_004790395.1,Bozo virus
GCA_009732375.1,Taiassui virus
GCA_004789455.1,Macaua virus
GCA_004789495.1,Sororoca virus
GCA_004789415.1,Anhembi virus
GCA_004789435.1,Iaco virus
GCA_009732395.1,Ngari virus
GCA_004790375.1,Birao virus
GCA_009732415.1,Shokwe virus
GCA_004790275.1,Potosi virus
GCA_031120035.1,SARS coronavirus LLJ-2004
GCA_007832615.1,Turbot reddish body iridovirus
GCA_031767235.1,Cotton leaf curl Kokhran virus-Dabawali
GCA_031767245.1,Tomato leaf curl Bangalore virus-Cotton [Fatehabad]
GCA_002829345.1,Eriocheir sinensis reovirus
GCA_000854545.1,Lettuce ring necrosis virus
GCA_000883775.1,Thielaviopsis basicola mitovirus
GCA_000853865.1,Human coronavirus NL63
GCA_902725305.1,uncultured phage
GCA_000862785.1,Tomato leaf curl China betasatellite
GCA_031120045.1,Classical swine fever virus 96TD
GCA_000846625.1,Lactobacillus phage phiAT3
GCA_000842685.1,Actinoplanes phage phiAsp2
GCA_000844905.1,Burkholderia phage BcepB1A
GCA_000860045.1,Gremmeniella abietina mitochondrial RNA virus S2
GCA_000858445.1,Gremmeniella abietina RNA virus L2
GCA_000859225.1,Gremmeniella abietina RNA virus MS2
GCA_000852725.1,Maize mosaic nucleorhabdovirus
GCA_000843645.2,Mycoplasma phage phiMFV1
GCA_031545385.1,Seoul virus BjHD01
GCA_000846565.1,Avian adeno-associated virus strain DA-1
GCA_031120055.1,SARS coronavirus GZ0401
GCA_002605325.1,Sulfolobus islandicus rudivirus 1 variant XX
GCA_008799095.1,Enterovirus B75
GCA_003029315.1,Daphne virus Y
GCA_000866305.1,Penaeid shrimp infectious myonecrosis virus
GCA_031120065.1,Papaya leaf curl China virus-Guangzhou isolate
GCA_000890975.1,Clostera anachoreta granulovirus
GCA_018595305.1,Faba bean necrotic stunt virus
