GCA_900128725.1,Buchnera aphidicola
GCA_000317225.1,Fischerella thermalis PCC 7521
GCA_014196295.1,Phenylobacterium haematophilum
GCA_017052695.1,Mycolicibacterium septicum
GCA_022346425.1,Pseudoglutamicibacter albus
GCA_008973725.1,Arthrobacter luteolus
GCA_023208175.1,Buchnera aphidicola (Aphis gossypii)
GCA_005080845.1,Buchnera aphidicola (Rhopalosiphum padi)
GCA_003099975.1,Buchnera aphidicola (Schizaphis graminum)
GCA_026684135.1,Buchnera aphidicola (Myzus persicae)
GCA_900016785.1,Buchnera aphidicola (Tuberolachnus salignus)
GCA_017876495.1,Microlunatus capsulatus
GCA_000006945.2,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2
GCA_003609645.1,Thermohalobacter berrensis
GCA_000316575.1,Calothrix sp. PCC 7507
GCA_017068375.1,Rhodococcus koreensis
GCA_003217325.1,Rhodopseudomonas faecalis
GCA_023665925.1,[Clostridium] fimetarium
GCA_900461105.1,Clostridium putrefaciens
GCA_026236545.1,Corynebacterium auriscanis
GCA_900459225.1,Streptococcus dysgalactiae subsp. dysgalactiae
GCA_003003275.1,Alkalibacterium olivapovliticus
GCA_002009805.1,Leptospira alexanderi
GCA_900205925.1,Clostridium peptidivorans
GCA_032595955.1,Borreliella lusitaniae
GCA_003391095.1,Austwickia chelonae
GCA_000203835.1,Streptomyces coelicolor A3(2)
GCA_903823545.1,uncultured Planctomycetaceae bacterium
GCA_903888265.1,uncultured Verrucomicrobiales bacterium
GCA_903853025.1,uncultured Planctomycetales bacterium
GCA_022654895.1,Schleiferilactobacillus perolens
GCA_003858455.1,Schaalia canis
GCA_000333295.1,Cytophagales bacterium B6
GCA_020726225.1,Chloroherpeton thalassium
GCA_905198095.1,Coprobacillus cateniformis
GCA_018785505.1,Catenibacterium mitsuokai
GCA_000306885.1,Wolbachia endosymbiont of Onchocerca ochengi
GCA_002884495.1,Rummeliibacillus pycnus
GCA_010686655.1,Cryomorpha ignava
GCA_000014565.1,Rhodococcus jostii RHA1
GCA_024425275.1,Sweet potato little leaf phytoplasma
GCA_023016305.1,Candidatus Blochmannia pennsylvanicus
GCA_031456755.1,Pseudomonas alcaliphila
GCA_001522005.1,Burkholderia ubonensis
GCA_022984075.1,Synechococcus sp. C9
GCA_000332055.1,Xenococcus sp. PCC 7305
GCA_000332355.1,Baaleninema simplex PCC 7105
GCA_000316115.1,Leptolyngbya sp. PCC 7375
GCA_905373405.1,Solobacterium moorei
GCA_000332035.1,Gloeocapsa sp. PCC 73106
GCA_000270045.1,Helicobacter pylori F32
GCA_000685625.1,Helicobacter pylori J166
GCA_000285895.1,Helicobacter pylori N6
GCA_002005525.1,Helicobacter pylori SS1
GCA_000258845.1,Helicobacter pylori NCTC 11637 = CCUG 17874 = ATCC 43504 = JCM 12093
GCA_001477615.1,Streptococcus infantarius
GCA_016028675.1,Proteus penneri
GCA_030848205.1,Streptococcus didelphis
GCA_001414035.1,Frankia sp. ACN1ag
GCA_000177675.1,Parafrankia sp. EUN1f
GCA_006547185.1,Streptomyces ipomoeae
GCA_018373315.1,Actinomyces urogenitalis
GCA_014696735.1,Nostoc sp. PCC 7120 = FACHB-418
GCA_018139085.1,Actinosynnema pretiosum subsp. pretiosum
GCA_014203355.1,Kutzneria kofuensis
GCA_024171925.1,Actinokineospora diospyrosa
GCA_024171945.1,Actinokineospora globicatena
GCA_014648475.1,Lentzea flava
GCA_000716755.1,Saccharothrix syringae
GCA_003752005.1,Saccharothrix texasensis
GCA_001913215.1,Pseudomonas syringae pv. actinidiae
GCA_000949305.1,Rhodococcus sp. AD45
GCA_030517065.1,Riemerella columbina
GCA_030167925.1,Paenibacillus chinjuensis
GCA_015169995.1,Rhodococcus pyridinivorans
GCA_003533325.1,Janibacter terrae
GCA_014647775.1,Thermopolyspora flexuosa
GCA_005889735.1,Nonomuraea turkmeniaca
GCA_001078275.1,Bordetella hinzii
GCA_900460315.1,Veillonella criceti
GCA_020539765.1,Veillonella ratti
GCA_003702275.1,Pseudomonas syringae pv. theae
GCA_017114915.1,Pseudomonas frederiksbergensis
GCA_011516945.1,Acetobacter estunensis
GCA_011516745.1,Acetobacter peroxydans
GCA_002358055.1,Acetobacter orleanensis
GCA_022648565.1,Acetobacter lovaniensis
GCA_002153515.1,Acetobacter indonesiensis
GCA_014486685.1,Acetobacter tropicalis
GCA_945285465.1,uncultured Bartonella sp.
GCA_014204715.1,Streptomonospora salina
GCA_011952225.1,Tenacibaculum mesophilum
GCA_021852385.1,Tenacibaculum ovolyticum
GCA_000956415.1,Microbacterium foliorum
GCA_000783375.1,Sphingomonas sp. Ant20
GCA_015264175.1,Leptotrichia sp.
GCA_019977795.1,Vibrio penaeicida
GCA_002847015.1,Serratia sp. ATCC 39006
GCA_902196115.1,Helicobacter suis
GCA_007830125.1,Chitinophaga japonensis
GCA_023100805.1,Chitinophaga filiformis
GCA_013778525.1,Limosilactobacillus frumenti
GCA_019795175.1,Ralstonia mannitolilytica
GCA_000787815.1,Streptacidiphilus neutrinimicus
GCA_000787775.1,Streptacidiphilus carbonis
GCA_000787755.1,Streptacidiphilus albus
GCA_000143085.1,Nitrosococcus watsonii C-113
GCA_017306535.1,Methylibium petroleiphilum
GCA_007922675.1,Dellaglioa algida
GCA_028751155.1,Aeromonas bestiarum
GCA_020559405.1,Anaerostipes caccae
GCA_017776345.1,Anaerobutyricum soehngenii
GCA_013133775.1,Pelistega europaea
GCA_000013345.1,Frankia casuarinae
GCA_900188345.1,Streptosporangium subroseum
GCA_016899615.1,Pseudoflavonifractor capillosus
GCA_016757775.1,Cupriavidus necator
GCA_001270265.1,Ensifer adhaerens
GCA_001020955.1,Thioalkalivibrio versutus
GCA_000753985.1,Acinetobacter bereziniae
GCA_017877275.1,Acinetobacter guillouiae
GCA_016918775.1,Acinetobacter nosocomialis
GCA_004936715.1,Marinobacter sp. DS40M8
GCA_002156545.1,Pseudoalteromonas ulvae
GCA_029853915.1,Methylobacterium fujisawaense
GCA_021246125.1,Tenacibaculum maritimum
GCA_023100865.1,Pseudomonas sp. A2
GCA_000685825.1,Methylocystis sp. LW5
GCA_000527115.1,Methylosinus sp. LW3
GCA_000745215.1,Methylosinus sp. PW1
GCA_016865255.1,Methylomonas sp. LW13
GCA_905202815.1,Veillonellaceae bacterium SB90
GCA_000009605.1,Buchnera aphidicola str. APS (Acyrthosiphon pisum)
GCA_029392935.1,Clostridium perfringens D
GCA_002000365.1,Thioalkalivibrio denitrificans
GCA_011390565.1,Thioalkalivibrio paradoxus
GCA_001439885.1,Bradyrhizobium yuanmingense
GCA_016907845.1,Arcanobacterium pluranimalium
GCA_023585805.1,Candidatus Blochmannia herculeanus
GCA_001054945.1,Corynebacterium falsenii
GCA_026108185.1,Gluconacetobacter entanii
GCA_016962955.1,Salmonella enterica subsp. enterica serovar Newport
GCA_016726345.1,Acinetobacter ursingii
GCA_003444015.1,Acinetobacter schindleri
GCA_000499665.2,Rickettsia monacensis
GCA_024459955.1,Anaerovorax odorimutans
GCA_938018025.1,Leptotrichia trevisanii
GCA_004345785.1,Bisgaardia hudsonensis
GCA_004795975.1,Wolbachia endosymbiont of Drosophila mauritiana
GCA_011029225.1,Lactobacillus jensenii
GCA_000389985.1,Nocardioides sp. CF8
GCA_017571595.1,Sinorhizobium medicae
GCA_014197705.1,Sinorhizobium terangae
GCA_014635085.1,Asaia siamensis
GCA_001508555.1,Pelotomaculum thermopropionicum
GCA_016592155.1,Mycobacterium heckeshornense
GCA_021559935.1,Mycolicibacterium vanbaalenii
GCA_902825235.1,Bartonella vinsonii subsp. vinsonii
GCA_030147645.1,Aquabacter sp.
GCA_000012625.1,Synechococcus sp. CC9605
GCA_000515235.1,Synechococcus sp. CC9616
GCA_903994035.1,Jeotgalicoccus pinnipedialis
GCA_020009625.1,Leifsonia poae
GCA_000938265.1,Agreia bicolorata
GCA_022815585.1,Rathayibacter caricis
GCA_022815465.1,Rathayibacter festucae
GCA_001553565.1,Actinomyces radicidentis
GCA_000971515.1,Porphyromonas gulae
GCA_020171545.1,Allomuricauda ruestringensis
GCA_013409325.1,Kineosphaera limosa
GCA_001870905.1,Geitlerinema sp. PCC 9228
GCA_017901175.1,Thiothrix unzii
GCA_017349355.1,Thiothrix fructosivorans
GCA_000317575.1,Stanieria cyanosphaera PCC 7437
GCA_000316605.1,[Leptolyngbya] sp. PCC 7376
GCA_900659615.1,Actinomadura fibrosa
GCA_003386555.1,Thermomonospora umbrina
GCA_014672695.1,Defluviicoccus vanus
GCA_009828705.1,Mannheimia pernigra
GCA_019926375.1,Psychrobacter pacificensis
GCA_014174305.1,Gluconacetobacter johannae
GCA_946222705.1,Chryseobacterium joostei
GCA_900129355.1,Seinonella peptonophila
GCA_014202615.1,Planococcus koreensis
GCA_900115345.1,Amycolatopsis rubida
GCA_900101845.1,Sporomusa acidovorans
GCA_900176355.1,Sporomusa malonica
GCA_900110485.1,Propionispora vibrioides
GCA_002077725.1,Enterococcus villorum
GCA_004125815.1,Streptococcus australis
GCA_019722015.1,Bathymodiolus platifrons methanotrophic gill symbiont
GCA_019721995.1,Bathymodiolus japonicus methanotrophic gill symbiont
GCA_016901195.1,Pseudoramibacter alactolyticus
GCA_006044035.1,Aeromonas salmonicida subsp. achromogenes
GCA_000332235.1,Geminocystis herdmanii PCC 6308
GCA_000472425.1,Bradyrhizobium sp. Tv2a-2
GCA_015476135.1,Lacticaseibacillus paracasei subsp. tolerans
GCA_014647795.1,Actinoplanes campanulatus
GCA_018332715.1,Actinoplanes consettensis
GCA_016862115.1,Actinoplanes deccanensis
GCA_016862135.1,Actinoplanes derwentensis
GCA_016862175.1,Actinoplanes durhamensis
GCA_016862195.1,Actinoplanes ferrugineus
GCA_016862215.1,Actinoplanes humidus
GCA_003001815.1,Actinoplanes italicus
GCA_014647815.1,Actinoplanes lobatus
GCA_016862315.1,Actinoplanes palleronii
GCA_000962825.1,Actinoplanes rectilineatus
GCA_001006785.1,Hyphomicrobium sp. GJ21
GCA_947252465.1,uncultured Arthrobacter sp.
GCA_946222435.1,uncultured Micrococcus sp.
GCA_913043935.1,uncultured Pseudoalteromonas sp.
GCA_913031415.1,uncultured Vibrio sp.
GCA_002982135.1,Pediococcus inopinatus
GCA_001619755.1,Paenibacillus jamilae
GCA_017883705.1,Candidatus Carsonella ruddii
GCA_026417915.1,Tepidimonas ignava
GCA_003034225.1,Sphingomonas fennica
GCA_000820385.1,Aeromonas veronii bv. sobria
GCA_015263765.1,Mogibacterium diversum
GCA_030644205.1,Mogibacterium neglectum
GCA_000026145.1,Bradyrhizobium sp. ORS 278
GCA_029714205.1,Methylobacterium nodulans
GCA_017116265.1,Alkaliphilus transvaalensis
GCA_022786805.1,Streptococcus orisratti
GCA_016103485.1,Streptomyces albiflaviniger
GCA_001896135.2,Streptomyces phaeoluteigriseus
GCA_018138715.1,Streptomyces asiaticus
GCA_019059395.1,Streptomyces cangkringensis
GCA_016103505.1,Streptomyces javensis
GCA_002155885.1,Streptomyces rhizosphaericus
GCA_018138705.1,Streptomyces indonesiensis
GCA_903889845.1,uncultured Verrucomicrobium sp.
GCA_913775395.1,uncultured Pseudomonas sp.
GCA_913776545.1,uncultured Variovorax sp.
GCA_913777835.1,uncultured Comamonas sp.
GCA_905193295.1,uncultured Azospirillum sp.
GCA_905212985.1,uncultured Acetobacter sp.
GCA_913056305.1,uncultured Ralstonia sp.
GCA_913054285.1,uncultured Roseobacter sp.
GCA_900660705.1,Mycoplasmopsis columbinasalis
GCA_900660685.1,Mycoplasmopsis columbina
GCA_024498255.1,Mycoplasmopsis equigenitalium
GCA_900660665.1,Mycoplasmopsis maculosa
GCA_019748715.1,Sporosarcina aquimarina
GCA_001500085.1,Mycolicibacterium acapulense
GCA_030268865.1,Actinomadura rubrobrunea
GCA_900114035.1,Amycolatopsis sacchari
GCA_001742375.1,Loigolactobacillus coryniformis subsp. coryniformis
GCA_019390135.1,Loigolactobacillus coryniformis subsp. torquens
GCA_001661585.1,Pasteurella multocida subsp. septica
GCA_019903445.1,Halomonas neptunia
GCA_003298795.1,Halomonas sulfidaeris
GCA_001576535.1,Halomonas axialensis
GCA_002442575.1,Halomonas hydrothermalis
GCA_000091085.2,Chlamydia pneumoniae AR39
GCA_000008745.1,Chlamydia pneumoniae CWL029
GCA_022698185.1,Synechococcus sp. PCC 6717
GCA_022984345.1,Synechococcus elongatus PCC 7943
GCA_020088785.1,Leuconostoc gasicomitatum
GCA_015709325.1,Desulfotignum balticum
GCA_900167465.1,Trichlorobacter thiogenes
GCA_900176205.1,Bradyrhizobium sp. ORS 285
GCA_006265165.1,Chlorobaculum thiosulfatiphilum
GCA_001941665.1,Mycobacterium tuberculosis variant caprae
GCA_032476935.1,Niallia nealsonii
GCA_010134455.1,Salmonella enterica subsp. enterica serovar Montevideo
GCA_014847675.1,Coprococcus catus
GCA_010669085.1,Caloranaerobacter azorensis
GCA_009176705.1,Pseudoalteromonas sp. A25
GCA_014649455.1,Streptomyces coeruleorubidus
GCA_017883805.1,Wolbachia endosymbiont of Diaphorina citri
GCA_021654775.1,Paenibacillus azoreducens
GCA_007830255.1,Azomonas agilis
GCA_900104745.1,Actinopolymorpha singaporensis
GCA_023712965.1,Sphingopyxis alaskensis
GCA_017849415.1,Comamonas denitrificans
GCA_013736725.1,Salmonella enterica subsp. enterica serovar Ohio
GCA_019745175.1,Mycolicibacterium frederiksbergense
GCA_030409305.1,Halomonas maura
GCA_013385825.1,Pseudomonas reactans
GCA_013385835.1,Pseudomonas gingeri
GCA_000469585.1,Chrysiogenes arsenatis DSM 11915
GCA_001465345.1,Enterococcus rotai
GCA_001700895.1,Buchnera aphidicola (Diuraphis noxia)
GCA_005080745.1,Buchnera aphidicola (Melaphis rhois)
GCA_003671935.1,Buchnera aphidicola (Rhopalosiphum maidis)
GCA_001648115.1,Buchnera aphidicola (Schlechtendalia chinensis)
GCA_011035165.1,Buchnera aphidicola (Uroleucon sonchi)
GCA_000332195.1,Pleurocapsa sp. PCC 7319
GCA_000317025.1,Pleurocapsa sp. PCC 7327
GCA_000309385.1,Nodosilinea nodulosa PCC 7104
GCA_000155555.1,Coleofasciculus chthonoplastes PCC 7420
GCA_000332175.1,Pseudanabaena sp. PCC 6802
GCA_006569205.1,Ureibacillus terrenus
GCA_937120785.1,Lyngbya aestuarii
GCA_900156235.1,Pseudomonas sp. B10
GCA_003344345.1,Wolbachia endosymbiont of Cylisticus convexus
GCA_938029445.1,Bulleidia extructa
GCA_900167375.1,Anaerorhabdus furcosa
GCA_029169405.1,Wolbachia endosymbiont of Onchocerca gibsoni
GCA_900102945.1,Halomonas muralis
GCA_905113015.1,Aerococcus sanguinicola
GCA_000709065.1,Cupriavidus metallidurans
GCA_001302265.1,Streptococcus phocae
GCA_014192895.1,Streptococcus dysgalactiae subsp. equisimilis
GCA_900112485.1,Clostridium uliginosum
GCA_019469565.1,Francisella tularensis subsp. tularensis
GCA_010078055.1,Francisella tularensis subsp. holarctica
GCA_015845975.1,Bacillus sonorensis
GCA_023061285.1,Chromohalobacter nigrandesensis
GCA_028472785.1,Marinomonas mediterranea
GCA_017007665.1,Salmonella enterica subsp. enterica serovar Choleraesuis
GCA_018853595.1,Acidithiobacillus albertensis
GCA_900637915.1,Propionibacterium australiense
GCA_006539385.1,Zymomonas mobilis subsp. pomaceae
GCA_002158845.1,Zymomonas mobilis subsp. mobilis
GCA_002355855.1,Sphingobium cloacae
GCA_006716115.1,Subtercola boreus
GCA_016907385.1,Subtercola frigoramans
GCA_003987565.1,Vagococcus fessus
GCA_003751805.1,Salana multivorans
GCA_015624465.1,Brucella pinnipedialis
GCA_014193785.1,Brucella ceti
GCA_024181165.1,Treponema sp. OMZ 803
GCA_903821805.1,uncultured Campylobacterota bacterium
GCA_900100775.1,Facklamia miroungae
GCA_015477305.1,Nocardia abscessus
GCA_014263335.1,Mycobacterium kubicae
GCA_002877835.1,Roseiflexus castenholzii
GCA_903859615.1,uncultured Planctomycetota bacterium
GCA_027408715.1,Ferrimicrobium acidiphilum
GCA_001541235.1,Hyphomicrobium sulfonivorans
GCA_014712225.1,Pseudarthrobacter sulfonivorans
GCA_018889915.1,Sphingobium xenophagum
GCA_900091525.1,Micromonospora matsumotoense
GCA_016862655.1,Catellatospora methionotrophica
GCA_001188555.1,Pannonibacter phragmitetus
GCA_000153325.1,Photobacterium sp. SKA34
GCA_009877425.1,Heliomicrobium undosum
GCA_001870675.1,Roseinatronobacter thiooxidans
GCA_032085035.1,Gordonia jacobaea
GCA_003752265.1,Pseudomonas psychrophila
GCA_014648375.1,Actinoplanes ianthinogenes
GCA_000008805.1,Neisseria meningitidis MC58
GCA_000009105.1,Neisseria meningitidis Z2491
GCA_023512535.1,Alicyclobacillus herbarius
GCA_000021565.1,Persephonella marina EX-H1
GCA_015351025.1,Curtobacterium sp. VKM Ac-1376
GCA_900167575.1,Okibacterium fritillariae
GCA_900636625.1,Pasteurella multocida subsp. gallicida
GCA_022784285.1,[Actinobacillus] rossii
GCA_002015125.1,[Haemophilus] felis
GCA_011455495.1,Frederiksenia canicola
GCA_001752465.1,Haemophilus quentini
GCA_900450815.1,Helicobacter canadensis
GCA_011386965.1,Bordetella trematum
GCA_017876435.1,Microbacterium phyllosphaerae
GCA_006716885.1,Ornithinimicrobium humiphilum
GCA_001439985.1,Wolbachia endosymbiont of Trichogramma pretiosum
GCA_020719825.1,Thiofilum flexile
GCA_900115805.1,Psychrobacillus psychrotolerans
GCA_900114885.1,Psychrobacillus psychrodurans
GCA_900142115.1,Halodesulfovibrio aestuarii
GCA_031457055.1,Cellvibrio fibrivorans
GCA_015739385.1,Providencia alcalifaciens
GCA_023715145.1,Paenibacillus glycanilyticus
GCA_032885165.1,Pigeon pea little leaf phytoplasma
GCA_032886555.1,Vigna little leaf phytoplasma
GCA_010728155.1,Mycolicibacterium doricum
GCA_000832145.1,Thermotoga sp. RQ7
GCA_002865985.1,Thermotoga sp. SG1
GCA_000019625.1,Thermotoga sp. RQ2
GCA_002866025.1,Thermotoga sp. KOL6
GCA_004342175.1,Thiobaca trueperi
GCA_001186515.1,Vibrio cholerae O1
GCA_900100275.1,Lentzea albidocapillata subsp. violacea
GCA_000346485.2,Scytonema hofmannii PCC 7110
GCA_012843135.1,Tsukamurella columbiensis
GCA_009363115.1,Paenibacillus brasilensis
GCA_017304455.1,Stenotrophomonas acidaminiphila
GCA_025209975.1,Bosea minatitlanensis
GCA_014211895.1,Pseudoxanthomonas mexicana
GCA_002146545.1,Bacillus thuringiensis serovar japonensis
GCA_900103385.1,Aerococcus urinaehominis
GCA_001400695.1,Pseudomonas coronafaciens pv. atropurpurea
GCA_001400715.1,Pseudomonas syringae pv. broussonetiae
GCA_001400455.1,Pseudomonas amygdali pv. eriobotryae
GCA_001294215.1,Pseudomonas amygdali pv. morsprunorum
GCA_001293985.1,Pseudomonas amygdali pv. myricae
GCA_022557255.1,Pseudomonas syringae pv. tagetis
GCA_020515755.1,Pseudomonas sp. B20
GCA_001632595.1,Geobacillus subterraneus
GCA_002217665.1,Geobacillus uzenensis
GCA_000940825.1,Xanthomonas oryzae pv. oryzicola
GCA_002245495.1,Oceanimonas baumannii
GCA_014646715.1,Pseudomonas brenneri
GCA_900101085.1,Pseudomonas grimontii
GCA_000400635.2,Amycolatopsis keratiniphila
GCA_001890765.1,Spirulina major PCC 6313
GCA_032349095.1,Arthrospira platensis PCC 7345
GCA_031759225.1,Mesobacillus jeotgali
GCA_018403045.1,Paenibacillus dendritiformis
GCA_032053305.1,Sedimentibacter saalensis
GCA_017876755.1,Crossiella equi
GCA_004291335.1,Limnobacter thiooxidans
GCA_013415415.1,Actinomyces bowdenii
GCA_900106055.1,Schaalia radingae
GCA_015549945.1,Schaalia turicensis
GCA_018912965.1,Arcanobacterium phocae
GCA_023934045.1,Candidatus Phytoplasma vitis
GCA_031458315.1,Corynebacterium felinum
GCA_024636915.1,Thiomicrorhabdus arctica
GCA_014191015.1,Kineococcus radiotolerans
GCA_963550505.1,Desulfomicrobium orale
GCA_001684175.1,Candidatus Glomeribacter gigasporarum
GCA_012396305.1,Nocardia veterana
GCA_002147295.1,Bacillus thuringiensis serovar darmstadiensis
GCA_002146425.1,Bacillus thuringiensis serovar fukuokaensis
GCA_002912045.1,Bacillus thuringiensis serovar higo
GCA_002911905.1,Bacillus thuringiensis serovar kumamtoensis
GCA_002148095.1,Bacillus thuringiensis serovar dakota
GCA_001418385.1,Streptomyces alboniger
GCA_000717285.1,Streptomyces rimosus subsp. rimosus
GCA_000498415.1,Pseudomonas kilonensis
GCA_904830925.1,Planktothrix pseudagardhii
GCA_900105375.1,Rhodococcus jostii
GCA_029960585.1,Exiguobacterium antarcticum
GCA_018861315.1,Clostridium bowmanii
GCA_018861705.1,Clostridium psychrophilum
GCA_008086615.1,Acetobacterium tundrae
GCA_000971055.1,Sphingomonas sp. SRS2
GCA_003688665.1,Hydrogenothermus marinus
GCA_014903525.1,Citrobacter youngae
GCA_020719645.1,Caldilinea aerophila
GCA_021568875.1,Dethiosulfovibrio marinus
GCA_021568855.1,Dethiosulfovibrio russensis
GCA_021568805.1,Dethiosulfovibrio acidaminovorans
GCA_010728525.1,Mycobacterium shottsii
GCA_900111165.1,Nitrosomonas sp. Nm51
GCA_900107265.1,Nitrosomonas sp. Nm33
GCA_016899935.1,Olsenella uli
GCA_019047805.1,Corynebacterium freneyi
GCA_016966675.1,Salmonella enterica subsp. enterica serovar Bredeney
GCA_000287355.1,secondary endosymbiont of Heteropsylla cubana
GCA_017990535.1,Achromobacter sp.
GCA_025515055.1,Acinetobacter parvus
GCA_000931695.1,Acinetobacter gyllenbergii
GCA_902833635.1,Paraburkholderia caledonica
GCA_019000095.1,Paraburkholderia fungorum
GCA_018524265.1,Mycolicibacterium goodii
GCA_017573545.1,Actinomadura nitritigenes
GCA_001546395.1,Fusobacterium equinum
GCA_000237145.1,Actinoplanes sp. SE50/110
GCA_002205595.1,Ureaplasma parvum
GCA_900143005.1,Cryptosporangium aurantiacum
GCA_900092415.1,Xanthomonas translucens pv. graminis
GCA_017301695.1,Xanthomonas translucens pv. translucens
GCA_900188105.1,Actinomadura mexicana
GCA_020731565.1,Nocardia africana
GCA_002846365.1,Nocardia fluminea
GCA_030644225.1,Selenomonas dianae
GCA_937925035.1,Selenomonas flueggei
GCA_905371815.1,Selenomonas noxia
GCA_016604985.1,Francisella tularensis subsp. mediasiatica
GCA_014389245.2,Bacillus subtilis subsp. subtilis
GCA_015476895.1,Nocardia cyriacigeorgica
GCA_910589065.1,Helicobacter apodemus
GCA_003477245.1,Idiomarina loihiensis
GCA_023283825.1,Shewanella olleyana
GCA_003967075.1,Sphingobium amiense
GCA_003640545.1,Candidatus Phytoplasma ziziphi
GCA_003269945.1,Priestia endophytica
GCA_001981305.1,Marinobacter lutaoensis
GCA_027922245.1,Paracoccus kondratievae
GCA_000829445.1,Jeotgalibacillus alimentarius
GCA_001509495.1,Actinoplanes awajinensis subsp. mycoplanecinus
GCA_014205225.1,Actinoplanes octamycinicus
GCA_016862275.1,Actinoplanes nipponensis
GCA_005402965.1,Dolichospermum planctonicum
GCA_945915525.1,Globicatella sulfidifaciens
GCA_902502775.2,Rhizobium sp. TCK
GCA_001483755.1,Kocuria polaris
GCA_016907875.1,Arthrobacter roseus
GCA_002873855.2,Vibrio lentus
GCA_900100985.1,Nitrosospira sp. Nsp1
GCA_003050965.1,Nitrosospira sp. Nsp2
GCA_004551615.1,Leuconostoc kimchii
GCA_001021045.1,Corynebacterium testudinoris
GCA_000379125.1,Methylosinus sp. LW4
GCA_014194605.1,Bradyrhizobium lupini
GCA_016862535.1,Asanoa ishikariensis
GCA_031458235.1,Catenuloplanes atrovinosus
GCA_030813715.1,Catenuloplanes indicus
GCA_020278625.1,Wolbachia endosymbiont of Mansonella ozzardi
GCA_900456965.1,Serratia quinivorans
GCA_000948985.2,Thalassomonas viridans
GCA_014081885.1,Weissella cibaria
GCA_018860195.1,Pseudomonas indica
GCA_000333555.1,Herbaspirillum sp. B65
GCA_000333615.1,Ideonella sp. B508-1
GCA_000333635.1,Enterobacter sp. B509
GCA_000333595.1,Azospirillum sp. B506
GCA_000010725.1,Azospirillum sp. B510
GCA_946222905.1,Falseniella ignava
GCA_927911445.1,Granulicatella elegans
GCA_900111135.1,Granulicatella balaenopterae
GCA_000333575.1,Herbaspirillum sp. B501
GCA_900198645.1,Helicobacter aurati
GCA_024746855.1,Pseudoalteromonas flavipulchra
GCA_918026845.1,Clostridium neonatale
GCA_004138295.1,Ectobacillus funiculus
GCA_902859755.1,Candidatus Hamiltonella defensa
GCA_026245975.1,Candidatus Regiella insecticola
GCA_009831665.3,Serratia symbiotica
GCA_020510425.1,Quatrionicoccus australiensis
GCA_000010045.1,Desulfitobacterium hafniense Y51
GCA_002847825.1,Kytococcus schroeteri
GCA_002938435.1,Blastococcus saxobsidens
GCA_018350285.1,Curtobacterium flaccumfaciens pv. flaccumfaciens
GCA_900198405.1,Helicobacter cetorum
GCA_016900315.1,Olsenella profusa
GCA_000011165.1,Chlamydia pneumoniae J138
GCA_017893945.1,Treponema parvum
GCA_009806395.1,Dietzia psychralcaliphila
GCA_001750215.1,Isoptericola variabilis
GCA_004087915.1,Geovibrio thiophilus
GCA_014197855.1,Roseospira marina
GCA_009601025.1,Roseospira navarrensis
GCA_018408855.1,Caballeronia sp. NK8
GCA_025076055.1,Salmonella enterica subsp. enterica serovar Virginia
GCA_900114465.1,Trichococcus palustris
GCA_946405415.1,Lachnobacterium bovis
GCA_000261325.1,Rickettsia conorii subsp. caspia A-167
GCA_022374895.2,Mycobacterium lentiflavum
GCA_025392985.1,Chromohalobacter canadensis
GCA_029478115.1,Chromohalobacter israelensis
GCA_002162375.1,Oleiphilus messinensis
GCA_000698945.1,Streptomyces wadayamensis
GCA_010119775.1,Photorhabdus laumondii subsp. laumondii
GCA_014651735.1,Nocardiopsis kunsanensis
GCA_003350065.1,Thermomonas haemolytica
GCA_002849345.1,Anaplasma ovis
GCA_002532045.1,Bradyrhizobium sp. C9
GCA_016901435.1,Eubacterium sp.
GCA_900111355.1,Isobaculum melis
GCA_003383595.3,Metamycoplasma phocicerebrale
GCA_004216495.1,Mycoplasmopsis phocirhinis
GCA_003332325.1,[Mycoplasma] phocae
GCA_025942345.1,Pseudoalteromonas sp. A3
GCA_014174355.1,Gluconacetobacter azotocaptans
GCA_900167185.1,Selenihalanaerobacter shriftii
GCA_016996055.1,Salmonella enterica subsp. enterica serovar Tennessee
GCA_900142975.1,Salegentibacter salegens
GCA_018860745.1,Zobellia uliginosa
GCA_905372415.1,Filifactor alocis
GCA_018206505.1,Fusobacterium necrophorum subsp. funduliforme
GCA_900451075.1,Fusobacterium necrophorum subsp. necrophorum
GCA_916438705.1,[Eubacterium] sulci
GCA_019603355.1,Aneurinibacillus thermoaerophilus
GCA_002147825.1,Bacillus thuringiensis serovar yunnanensis
GCA_027922185.1,Maricaulis virginensis
GCA_016817355.1,Maricaulis parjimensis
GCA_900103475.1,Maricaulis salignorans
GCA_013359775.1,Cellulomonas humilata
GCA_900453315.1,Mobiluncus curtisii subsp. curtisii
GCA_900453235.1,Mobiluncus holmesii
GCA_001639025.1,Corynebacterium afermentans subsp. afermentans
GCA_015351335.1,Corynebacterium afermentans subsp. lipophilum
GCA_014190775.1,Leifsonia aquatica
GCA_022179765.1,Methylorubrum suomiense
GCA_022179545.1,Mycolicibacterium fortuitum subsp. fortuitum
GCA_001570465.1,Mycolicibacterium fortuitum subsp. acetamidolyticum
GCA_937960675.1,Thermobifida cellulosilytica
GCA_004362495.1,Nocardia ignorata
GCA_002156675.1,Staphylococcus hominis subsp. hominis
